prec_id,Kim Hargett,Mark Brody,election
anson_POLK,205,148,nc_house_of_representatives_district_055
anson_ANS,314,171,nc_house_of_representatives_district_055
anson_W1,699,235,nc_house_of_representatives_district_055
anson_LILE,740,330,nc_house_of_representatives_district_055
anson_W2,463,171,nc_house_of_representatives_district_055
anson_W3,617,373,nc_house_of_representatives_district_055
anson_GULL,304,144,nc_house_of_representatives_district_055
anson_MM,442,93,nc_house_of_representatives_district_055
anson_WS,73,70,nc_house_of_representatives_district_055
anson_BURN,210,332,nc_house_of_representatives_district_055
anson_ONESTOP,0,0,nc_house_of_representatives_district_055
anson_PEAC,210,305,nc_house_of_representatives_district_055
union_23,314,621,nc_house_of_representatives_district_055
union_26,237,475,nc_house_of_representatives_district_055
union_ONESTOP,0,0,nc_house_of_representatives_district_055
union_11,218,806,nc_house_of_representatives_district_055
union_21,228,729,nc_house_of_representatives_district_055
union_9,454,152,nc_house_of_representatives_district_055
union_24,194,707,nc_house_of_representatives_district_055
union_7,481,806,nc_house_of_representatives_district_055
union_27,282,530,nc_house_of_representatives_district_055
union_36,360,454,nc_house_of_representatives_district_055
union_25,268,503,nc_house_of_representatives_district_055
union_22,142,1072,nc_house_of_representatives_district_055
union_19,134,217,nc_house_of_representatives_district_055
union_33,302,739,nc_house_of_representatives_district_055
union_34,472,895,nc_house_of_representatives_district_055
union_12,190,903,nc_house_of_representatives_district_055
union_32,145,503,nc_house_of_representatives_district_055
