prec_id,Mary Price (Pricey) Harrison,election
guilford_JEF4,283,nc_house_of_representatives_district_057
guilford_G15,137,nc_house_of_representatives_district_057
guilford_CURBSIDE,117,nc_house_of_representatives_district_057
guilford_JEF1,45,nc_house_of_representatives_district_057
guilford_MON2A,956,nc_house_of_representatives_district_057
guilford_G13,594,nc_house_of_representatives_district_057
guilford_JEF2,600,nc_house_of_representatives_district_057
guilford_RC1,218,nc_house_of_representatives_district_057
guilford_MON1,681,nc_house_of_representatives_district_057
guilford_MON2B,638,nc_house_of_representatives_district_057
guilford_G26,1005,nc_house_of_representatives_district_057
guilford_G11,621,nc_house_of_representatives_district_057
guilford_G01,389,nc_house_of_representatives_district_057
guilford_G04,566,nc_house_of_representatives_district_057
guilford_G03,687,nc_house_of_representatives_district_057
guilford_G71,5,nc_house_of_representatives_district_057
guilford_G72,794,nc_house_of_representatives_district_057
guilford_G67,307,nc_house_of_representatives_district_057
guilford_G06,650,nc_house_of_representatives_district_057
guilford_G02,305,nc_house_of_representatives_district_057
guilford_G12,125,nc_house_of_representatives_district_057
guilford_G08,728,nc_house_of_representatives_district_057
guilford_G07,466,nc_house_of_representatives_district_057
guilford_G10,891,nc_house_of_representatives_district_057
guilford_G14,118,nc_house_of_representatives_district_057
guilford_G44,24,nc_house_of_representatives_district_057
guilford_G68,440,nc_house_of_representatives_district_057
guilford_G09,848,nc_house_of_representatives_district_057
guilford_CG3B,144,nc_house_of_representatives_district_057
guilford_G05,602,nc_house_of_representatives_district_057
guilford_G20,648,nc_house_of_representatives_district_057
guilford_G22,651,nc_house_of_representatives_district_057
guilford_G19,531,nc_house_of_representatives_district_057
guilford_G23,239,nc_house_of_representatives_district_057
guilford_G21,1092,nc_house_of_representatives_district_057
guilford_G24,432,nc_house_of_representatives_district_057
