prec_id,John Faircloth,Ron Weatherford,election
guilford_H14,737,163,nc_house_of_representatives_district_061
guilford_SUM2,274,80,nc_house_of_representatives_district_061
guilford_H21,430,221,nc_house_of_representatives_district_061
guilford_H24,818,402,nc_house_of_representatives_district_061
guilford_H17,96,109,nc_house_of_representatives_district_061
guilford_SUM1,239,149,nc_house_of_representatives_district_061
guilford_H20A,348,231,nc_house_of_representatives_district_061
guilford_CURBSIDE,47,23,nc_house_of_representatives_district_061
guilford_H06,368,278,nc_house_of_representatives_district_061
guilford_H13,671,268,nc_house_of_representatives_district_061
guilford_JAM5,499,96,nc_house_of_representatives_district_061
guilford_H01,183,340,nc_house_of_representatives_district_061
guilford_H02,450,225,nc_house_of_representatives_district_061
guilford_H03,28,17,nc_house_of_representatives_district_061
guilford_H22,293,186,nc_house_of_representatives_district_061
guilford_H25,1326,564,nc_house_of_representatives_district_061
guilford_H04,272,218,nc_house_of_representatives_district_061
guilford_JAM2,466,258,nc_house_of_representatives_district_061
guilford_SDRI,1602,565,nc_house_of_representatives_district_061
guilford_JAM1,1013,492,nc_house_of_representatives_district_061
guilford_PG2,1099,292,nc_house_of_representatives_district_061
guilford_H12,144,139,nc_house_of_representatives_district_061
guilford_H15,477,317,nc_house_of_representatives_district_061
guilford_H20B,403,204,nc_house_of_representatives_district_061
guilford_H26,653,371,nc_house_of_representatives_district_061
guilford_JAM3,673,371,nc_house_of_representatives_district_061
guilford_JAM4,793,228,nc_house_of_representatives_district_061
guilford_SUM3,498,106,nc_house_of_representatives_district_061
guilford_SUM4,845,175,nc_house_of_representatives_district_061
guilford_H16,438,207,nc_house_of_representatives_district_061
guilford_H23,523,195,nc_house_of_representatives_district_061
guilford_H27-A,711,460,nc_house_of_representatives_district_061
guilford_H27-B,487,221,nc_house_of_representatives_district_061
guilford_H19A,24,74,nc_house_of_representatives_district_061
guilford_H29A,75,156,nc_house_of_representatives_district_061
guilford_H28,694,657,nc_house_of_representatives_district_061
guilford_H19B,262,175,nc_house_of_representatives_district_061
guilford_H18,71,70,nc_house_of_representatives_district_061
