prec_id,John Faircloth,election
guilford_H29A,249,nc_house_of_representatives_district_061
guilford_H14,935,nc_house_of_representatives_district_061
guilford_SUM1,393,nc_house_of_representatives_district_061
guilford_H04,676,nc_house_of_representatives_district_061
guilford_H20A,587,nc_house_of_representatives_district_061
guilford_JAM5,850,nc_house_of_representatives_district_061
guilford_H18,135,nc_house_of_representatives_district_061
guilford_H19B,436,nc_house_of_representatives_district_061
guilford_JAM2,740,nc_house_of_representatives_district_061
guilford_H13,957,nc_house_of_representatives_district_061
guilford_H06,629,nc_house_of_representatives_district_061
guilford_H17,236,nc_house_of_representatives_district_061
guilford_H19A,69,nc_house_of_representatives_district_061
guilford_H02,737,nc_house_of_representatives_district_061
guilford_H01,548,nc_house_of_representatives_district_061
guilford_H22,577,nc_house_of_representatives_district_061
guilford_H28,1398,nc_house_of_representatives_district_061
guilford_H25,1964,nc_house_of_representatives_district_061
guilford_SUM2,461,nc_house_of_representatives_district_061
guilford_PG2,1622,nc_house_of_representatives_district_061
guilford_JAM1,1592,nc_house_of_representatives_district_061
guilford_H12,292,nc_house_of_representatives_district_061
guilford_H15,843,nc_house_of_representatives_district_061
guilford_SDRI,2829,nc_house_of_representatives_district_061
guilford_SUM3,789,nc_house_of_representatives_district_061
guilford_SUM4,1287,nc_house_of_representatives_district_061
guilford_ABS/PROV/CURB 3,231,nc_house_of_representatives_district_061
guilford_JAM4,1201,nc_house_of_representatives_district_061
guilford_JAM3,1050,nc_house_of_representatives_district_061
guilford_H03,59,nc_house_of_representatives_district_061
guilford_H16,678,nc_house_of_representatives_district_061
guilford_H20B,650,nc_house_of_representatives_district_061
guilford_H26,1126,nc_house_of_representatives_district_061
guilford_H23,797,nc_house_of_representatives_district_061
guilford_H27-A,1280,nc_house_of_representatives_district_061
guilford_H27-B,793,nc_house_of_representatives_district_061
guilford_H21,798,nc_house_of_representatives_district_061
guilford_H24,1273,nc_house_of_representatives_district_061
