prec_id,John M. Blust,election
guilford_SF4,1989,nc_house_of_representatives_district_062
guilford_SF3,1474,nc_house_of_representatives_district_062
guilford_G64,62,nc_house_of_representatives_district_062
guilford_H29A,666,nc_house_of_representatives_district_062
guilford_FR5A,1047,nc_house_of_representatives_district_062
guilford_G42A,995,nc_house_of_representatives_district_062
guilford_G40A2,517,nc_house_of_representatives_district_062
guilford_G43,574,nc_house_of_representatives_district_062
guilford_FR5B,806,nc_house_of_representatives_district_062
guilford_G40B,675,nc_house_of_representatives_district_062
guilford_SF1,1830,nc_house_of_representatives_district_062
guilford_FR1,1347,nc_house_of_representatives_district_062
guilford_CG1,112,nc_house_of_representatives_district_062
guilford_G38,1124,nc_house_of_representatives_district_062
guilford_G41A,696,nc_house_of_representatives_district_062
guilford_ABS/CURB/PROV 4,88,nc_house_of_representatives_district_062
guilford_OR2,1455,nc_house_of_representatives_district_062
guilford_G41B,902,nc_house_of_representatives_district_062
guilford_OR1,2096,nc_house_of_representatives_district_062
guilford_JAM2,215,nc_house_of_representatives_district_062
guilford_FR4,867,nc_house_of_representatives_district_062
guilford_G40A1,787,nc_house_of_representatives_district_062
guilford_G65,1011,nc_house_of_representatives_district_062
guilford_G62,567,nc_house_of_representatives_district_062
guilford_ABS/PROV/CURB 1,119,nc_house_of_representatives_district_062
guilford_G42B,237,nc_house_of_representatives_district_062
guilford_G66,1112,nc_house_of_representatives_district_062
guilford_H29B,1066,nc_house_of_representatives_district_062
guilford_ABS/PROV/CURB 3,8,nc_house_of_representatives_district_062
guilford_SF2,956,nc_house_of_representatives_district_062
guilford_STOK,2217,nc_house_of_representatives_district_062
guilford_G37,313,nc_house_of_representatives_district_062
guilford_G39,649,nc_house_of_representatives_district_062
guilford_ABS/PROV/CURB 2,13,nc_house_of_representatives_district_062
guilford_FR3,795,nc_house_of_representatives_district_062
guilford_NDRI,1453,nc_house_of_representatives_district_062
guilford_FR2,1170,nc_house_of_representatives_district_062
