prec_id,Dennis Riddell,election
alamance_03S,1584,nc_house_of_representatives_district_064
alamance_03N,981,nc_house_of_representatives_district_064
alamance_12S,151,nc_house_of_representatives_district_064
alamance_35,981,nc_house_of_representatives_district_064
alamance_4,1329,nc_house_of_representatives_district_064
alamance_7,1054,nc_house_of_representatives_district_064
alamance_1,1138,nc_house_of_representatives_district_064
alamance_03C,58,nc_house_of_representatives_district_064
alamance_03N2,236,nc_house_of_representatives_district_064
alamance_128,280,nc_house_of_representatives_district_064
alamance_5,899,nc_house_of_representatives_district_064
alamance_2,1293,nc_house_of_representatives_district_064
alamance_127,542,nc_house_of_representatives_district_064
alamance_ONESTOP,0,nc_house_of_representatives_district_064
alamance_63,113,nc_house_of_representatives_district_064
alamance_06W,19,nc_house_of_representatives_district_064
alamance_08N,785,nc_house_of_representatives_district_064
alamance_08S,485,nc_house_of_representatives_district_064
alamance_12N,349,nc_house_of_representatives_district_064
alamance_12E,241,nc_house_of_representatives_district_064
alamance_03W,828,nc_house_of_representatives_district_064
