prec_id,Bert Jones,H. Keith Duncan,election
caswell_STON,911,507,nc_house_of_representatives_district_065
caswell_YANC,616,789,nc_house_of_representatives_district_065
caswell_ANDE,382,166,nc_house_of_representatives_district_065
caswell_MILT,567,807,nc_house_of_representatives_district_065
caswell_LOCU,547,771,nc_house_of_representatives_district_065
caswell_PH,768,457,nc_house_of_representatives_district_065
caswell_CURBSIDE,62,160,nc_house_of_representatives_district_065
caswell_LEAS,248,208,nc_house_of_representatives_district_065
caswell_PELH,1278,632,nc_house_of_representatives_district_065
caswell_PROVI,347,198,nc_house_of_representatives_district_065
caswell_ABSENTEE,179,74,nc_house_of_representatives_district_065
rockingham_NB,1518,453,nc_house_of_representatives_district_065
rockingham_IR,1262,467,nc_house_of_representatives_district_065
rockingham_LK-2,1178,1104,nc_house_of_representatives_district_065
rockingham_RC,2187,1247,nc_house_of_representatives_district_065
rockingham_LI,1752,826,nc_house_of_representatives_district_065
rockingham_ED-1,1409,1173,nc_house_of_representatives_district_065
rockingham_EC,1340,1265,nc_house_of_representatives_district_065
rockingham_DR,774,633,nc_house_of_representatives_district_065
rockingham_MC,386,207,nc_house_of_representatives_district_065
rockingham_SE,1546,1141,nc_house_of_representatives_district_065
rockingham_HU,1983,770,nc_house_of_representatives_district_065
rockingham_HO,606,276,nc_house_of_representatives_district_065
