prec_id,Billy Mills,Carson Roger Snyder,Justin P. Burr,election
montgomery_LIT,30,71,275,nc_house_of_representatives_district_067
montgomery_T1,103,538,733,nc_house_of_representatives_district_067
montgomery_MTG,7,120,8,nc_house_of_representatives_district_067
montgomery_OPH,19,42,178,nc_house_of_representatives_district_067
montgomery_BIS,83,478,431,nc_house_of_representatives_district_067
montgomery_UWH,142,177,632,nc_house_of_representatives_district_067
montgomery_ELD,114,174,682,nc_house_of_representatives_district_067
montgomery_PEE,76,195,466,nc_house_of_representatives_district_067
montgomery_STA,110,190,737,nc_house_of_representatives_district_067
montgomery_CAN,62,463,463,nc_house_of_representatives_district_067
montgomery_WAD,17,191,132,nc_house_of_representatives_district_067
montgomery_T2,85,336,523,nc_house_of_representatives_district_067
stanly_7,446,516,539,nc_house_of_representatives_district_067
stanly_26,238,257,664,nc_house_of_representatives_district_067
stanly_24,253,321,1626,nc_house_of_representatives_district_067
stanly_27,287,532,917,nc_house_of_representatives_district_067
stanly_13,324,254,668,nc_house_of_representatives_district_067
stanly_15,241,357,305,nc_house_of_representatives_district_067
stanly_18,186,232,454,nc_house_of_representatives_district_067
stanly_22,232,254,852,nc_house_of_representatives_district_067
stanly_23,378,285,1359,nc_house_of_representatives_district_067
stanly_25,268,334,1580,nc_house_of_representatives_district_067
stanly_3,379,772,466,nc_house_of_representatives_district_067
stanly_20,433,230,1070,nc_house_of_representatives_district_067
stanly_14,218,174,378,nc_house_of_representatives_district_067
stanly_16,226,289,376,nc_house_of_representatives_district_067
stanly_11,331,240,408,nc_house_of_representatives_district_067
stanly_28,134,404,440,nc_house_of_representatives_district_067
stanly_21,334,176,495,nc_house_of_representatives_district_067
stanly_19,332,181,648,nc_house_of_representatives_district_067
stanly_17,443,268,700,nc_house_of_representatives_district_067
stanly_8,111,919,111,nc_house_of_representatives_district_067
stanly_2,192,232,375,nc_house_of_representatives_district_067
stanly_12,193,166,369,nc_house_of_representatives_district_067
stanly_10,261,269,361,nc_house_of_representatives_district_067
