prec_id,Evelyn Terry,Kris A. McCann,election
forsyth_122,987,538,nc_house_of_representatives_district_071
forsyth_705,214,90,nc_house_of_representatives_district_071
forsyth_42,166,114,nc_house_of_representatives_district_071
forsyth_708,201,75,nc_house_of_representatives_district_071
forsyth_43,231,90,nc_house_of_representatives_district_071
forsyth_701,66,19,nc_house_of_representatives_district_071
forsyth_707,159,97,nc_house_of_representatives_district_071
forsyth_123,5,0,nc_house_of_representatives_district_071
forsyth_601,423,159,nc_house_of_representatives_district_071
forsyth_604,199,44,nc_house_of_representatives_district_071
forsyth_507,603,229,nc_house_of_representatives_district_071
forsyth_808,291,52,nc_house_of_representatives_district_071
forsyth_703,13,12,nc_house_of_representatives_district_071
forsyth_404,670,80,nc_house_of_representatives_district_071
forsyth_405,511,13,nc_house_of_representatives_district_071
forsyth_506,352,233,nc_house_of_representatives_district_071
forsyth_902,519,131,nc_house_of_representatives_district_071
forsyth_501,919,68,nc_house_of_representatives_district_071
forsyth_401,675,48,nc_house_of_representatives_district_071
forsyth_403,455,33,nc_house_of_representatives_district_071
forsyth_607,147,78,nc_house_of_representatives_district_071
forsyth_606,428,256,nc_house_of_representatives_district_071
forsyth_603,687,198,nc_house_of_representatives_district_071
forsyth_504,393,58,nc_house_of_representatives_district_071
forsyth_505,523,136,nc_house_of_representatives_district_071
forsyth_602,710,411,nc_house_of_representatives_district_071
forsyth_605,894,472,nc_house_of_representatives_district_071
forsyth_503,488,75,nc_house_of_representatives_district_071
forsyth_502,607,15,nc_house_of_representatives_district_071
