prec_id,"Edward Hanes, Jr.",election
forsyth_908,1165,nc_house_of_representatives_district_072
forsyth_402,679,nc_house_of_representatives_district_072
forsyth_802,718,nc_house_of_representatives_district_072
forsyth_403,202,nc_house_of_representatives_district_072
forsyth_207,1151,nc_house_of_representatives_district_072
forsyth_31,248,nc_house_of_representatives_district_072
forsyth_302,561,nc_house_of_representatives_district_072
forsyth_101,319,nc_house_of_representatives_district_072
forsyth_909,604,nc_house_of_representatives_district_072
forsyth_304,1131,nc_house_of_representatives_district_072
forsyth_83,537,nc_house_of_representatives_district_072
forsyth_803,738,nc_house_of_representatives_district_072
forsyth_ABS/PROV/CURB 4,1211,nc_house_of_representatives_district_072
forsyth_205,465,nc_house_of_representatives_district_072
forsyth_33,1020,nc_house_of_representatives_district_072
forsyth_901,878,nc_house_of_representatives_district_072
forsyth_ABS/PROV/CURB 2,1236,nc_house_of_representatives_district_072
forsyth_305,831,nc_house_of_representatives_district_072
forsyth_204,817,nc_house_of_representatives_district_072
forsyth_801,594,nc_house_of_representatives_district_072
forsyth_904,1129,nc_house_of_representatives_district_072
forsyth_907,895,nc_house_of_representatives_district_072
forsyth_203,906,nc_house_of_representatives_district_072
forsyth_ABS/PROV/CURB 3,817,nc_house_of_representatives_district_072
forsyth_81,929,nc_house_of_representatives_district_072
forsyth_201,2082,nc_house_of_representatives_district_072
forsyth_206,909,nc_house_of_representatives_district_072
forsyth_301,537,nc_house_of_representatives_district_072
forsyth_903,1605,nc_house_of_representatives_district_072
forsyth_905,1011,nc_house_of_representatives_district_072
forsyth_303,424,nc_house_of_representatives_district_072
forsyth_306,748,nc_house_of_representatives_district_072
forsyth_ABS/PROV/CURB 1,94,nc_house_of_representatives_district_072
forsyth_82,1001,nc_house_of_representatives_district_072
