prec_id,Carl Ford,election
cabarrus_ONESTOP,1,nc_house_of_representatives_district_076
cabarrus_36647,911,nc_house_of_representatives_district_076
cabarrus_36739,1288,nc_house_of_representatives_district_076
cabarrus_36770,800,nc_house_of_representatives_district_076
cabarrus_36678,768,nc_house_of_representatives_district_076
cabarrus_43924,785,nc_house_of_representatives_district_076
cabarrus_36708,401,nc_house_of_representatives_district_076
rowan_23,534,nc_house_of_representatives_district_076
rowan_26,671,nc_house_of_representatives_district_076
rowan_22,299,nc_house_of_representatives_district_076
rowan_13,683,nc_house_of_representatives_district_076
rowan_33,680,nc_house_of_representatives_district_076
rowan_05A,1281,nc_house_of_representatives_district_076
rowan_25,1146,nc_house_of_representatives_district_076
rowan_1,651,nc_house_of_representatives_district_076
rowan_35,242,nc_house_of_representatives_district_076
rowan_2,348,nc_house_of_representatives_district_076
rowan_38,553,nc_house_of_representatives_district_076
rowan_16,495,nc_house_of_representatives_district_076
rowan_15,1158,nc_house_of_representatives_district_076
rowan_17,618,nc_house_of_representatives_district_076
rowan_36,553,nc_house_of_representatives_district_076
rowan_18,95,nc_house_of_representatives_district_076
rowan_31,605,nc_house_of_representatives_district_076
rowan_19A,1381,nc_house_of_representatives_district_076
