prec_id,Harry Warren,election
rowan_3,909,nc_house_of_representatives_district_077
rowan_41,791,nc_house_of_representatives_district_077
rowan_14A,1501,nc_house_of_representatives_district_077
rowan_34,577,nc_house_of_representatives_district_077
rowan_39,585,nc_house_of_representatives_district_077
rowan_8,1120,nc_house_of_representatives_district_077
rowan_29,445,nc_house_of_representatives_district_077
rowan_32,597,nc_house_of_representatives_district_077
rowan_27,437,nc_house_of_representatives_district_077
rowan_4,1414,nc_house_of_representatives_district_077
rowan_12,504,nc_house_of_representatives_district_077
rowan_7,560,nc_house_of_representatives_district_077
rowan_28,561,nc_house_of_representatives_district_077
rowan_10,1059,nc_house_of_representatives_district_077
rowan_24,497,nc_house_of_representatives_district_077
rowan_30,603,nc_house_of_representatives_district_077
rowan_40,769,nc_house_of_representatives_district_077
rowan_45,369,nc_house_of_representatives_district_077
rowan_9,760,nc_house_of_representatives_district_077
rowan_21,916,nc_house_of_representatives_district_077
rowan_11,1005,nc_house_of_representatives_district_077
rowan_42,96,nc_house_of_representatives_district_077
rowan_44,813,nc_house_of_representatives_district_077
