prec_id,Allen McNeill,William (Bill) McCaskill,election
moore_OS-DC PAPER,278,70,nc_house_of_representatives_district_078
moore_WEM,257,41,nc_house_of_representatives_district_078
moore_ABSENTEE,134,64,nc_house_of_representatives_district_078
moore_CAR,508,259,nc_house_of_representatives_district_078
moore_OS-WEG PAPER,15,5,nc_house_of_representatives_district_078
moore_DHR,436,92,nc_house_of_representatives_district_078
moore_OS-AG PAPER,2017,966,nc_house_of_representatives_district_078
moore_OS-PFD PAPER,9,5,nc_house_of_representatives_district_078
moore_OS-VRS PAPER,9,2,nc_house_of_representatives_district_078
moore_RBN,26,4,nc_house_of_representatives_district_078
randolph_DR,2254,553,nc_house_of_representatives_district_078
randolph_AS,2048,721,nc_house_of_representatives_district_078
randolph_PR,3190,626,nc_house_of_representatives_district_078
randolph_RM,1290,591,nc_house_of_representatives_district_078
randolph_ST,1092,258,nc_house_of_representatives_district_078
randolph_SW,1597,247,nc_house_of_representatives_district_078
randolph_SE,1170,242,nc_house_of_representatives_district_078
randolph_SO,1992,422,nc_house_of_representatives_district_078
randolph_LB,1147,664,nc_house_of_representatives_district_078
randolph_TB,1628,230,nc_house_of_representatives_district_078
randolph_GR,1979,524,nc_house_of_representatives_district_078
randolph_UG,3944,985,nc_house_of_representatives_district_078
