prec_id,Gene Mitchell Mahaffey,Rena W. Turner,election
iredell_ST2,456,772,nc_house_of_representatives_district_084
iredell_ST5,588,731,nc_house_of_representatives_district_084
iredell_TB,349,703,nc_house_of_representatives_district_084
iredell_EM,152,369,nc_house_of_representatives_district_084
iredell_SH-A,355,1067,nc_house_of_representatives_district_084
iredell_SB,158,766,nc_house_of_representatives_district_084
iredell_SH-B,311,1035,nc_house_of_representatives_district_084
iredell_CD,521,1611,nc_house_of_representatives_district_084
iredell_FT,906,2427,nc_house_of_representatives_district_084
iredell_OL,132,532,nc_house_of_representatives_district_084
iredell_CS,355,856,nc_house_of_representatives_district_084
iredell_NH,144,452,nc_house_of_representatives_district_084
iredell_ST1,574,1219,nc_house_of_representatives_district_084
iredell_ST4,547,888,nc_house_of_representatives_district_084
iredell_CH-A,414,730,nc_house_of_representatives_district_084
iredell_ST3,666,564,nc_house_of_representatives_district_084
iredell_UG,204,551,nc_house_of_representatives_district_084
iredell_BE,655,1863,nc_house_of_representatives_district_084
