prec_id,Josh Dobson,JR Edwards,election
avery_13,139,39,nc_house_of_representatives_district_085
avery_18,90,18,nc_house_of_representatives_district_085
avery_5,93,4,nc_house_of_representatives_district_085
avery_8,117,12,nc_house_of_representatives_district_085
avery_ONESTOP,647,240,nc_house_of_representatives_district_085
avery_2,456,179,nc_house_of_representatives_district_085
avery_14,225,42,nc_house_of_representatives_district_085
avery_19,97,8,nc_house_of_representatives_district_085
avery_11,135,43,nc_house_of_representatives_district_085
avery_1,274,59,nc_house_of_representatives_district_085
avery_16,327,123,nc_house_of_representatives_district_085
avery_15,178,35,nc_house_of_representatives_district_085
avery_12,94,11,nc_house_of_representatives_district_085
avery_17,171,23,nc_house_of_representatives_district_085
avery_4,27,6,nc_house_of_representatives_district_085
avery_7,72,5,nc_house_of_representatives_district_085
avery_9,118,10,nc_house_of_representatives_district_085
avery_10,221,56,nc_house_of_representatives_district_085
avery_3,163,26,nc_house_of_representatives_district_085
avery_6,169,29,nc_house_of_representatives_district_085
mcdowell_GLENWD,538,141,nc_house_of_representatives_district_085
mcdowell_WEST M,863,336,nc_house_of_representatives_district_085
mcdowell_43891,763,341,nc_house_of_representatives_district_085
mcdowell_PLEASA,685,218,nc_house_of_representatives_district_085
mcdowell_43894,186,105,nc_house_of_representatives_district_085
mcdowell_NEBO,792,299,nc_house_of_representatives_district_085
mcdowell_FORT 2,263,128,nc_house_of_representatives_district_085
mcdowell_T.COVE,273,68,nc_house_of_representatives_district_085
mcdowell_M.COVE,519,120,nc_house_of_representatives_district_085
mcdowell_FORT 1,351,189,nc_house_of_representatives_district_085
mcdowell_HIGGIN,347,112,nc_house_of_representatives_district_085
mcdowell_N.COVE,250,71,nc_house_of_representatives_district_085
mcdowell_CCREEK,676,294,nc_house_of_representatives_district_085
mcdowell_43892,278,268,nc_house_of_representatives_district_085
mcdowell_43893,214,100,nc_house_of_representatives_district_085
mcdowell_43895,209,86,nc_house_of_representatives_district_085
mcdowell_DYSART,575,182,nc_house_of_representatives_district_085
mitchell_2,123,10,nc_house_of_representatives_district_085
mitchell_5,235,56,nc_house_of_representatives_district_085
mitchell_8,129,26,nc_house_of_representatives_district_085
mitchell_1,440,154,nc_house_of_representatives_district_085
mitchell_4,1904,612,nc_house_of_representatives_district_085
mitchell_7,62,11,nc_house_of_representatives_district_085
mitchell_3,232,45,nc_house_of_representatives_district_085
mitchell_6,240,52,nc_house_of_representatives_district_085
mitchell_9,388,169,nc_house_of_representatives_district_085
