prec_id,Edgar V. Starnes,election
caldwell_PR14,447,nc_house_of_representatives_district_087
caldwell_ONESTOP,7003,nc_house_of_representatives_district_087
caldwell_PR05,582,nc_house_of_representatives_district_087
caldwell_PR16,151,nc_house_of_representatives_district_087
caldwell_PR22,573,nc_house_of_representatives_district_087
caldwell_PR25,315,nc_house_of_representatives_district_087
caldwell_PR02,271,nc_house_of_representatives_district_087
caldwell_PR21,559,nc_house_of_representatives_district_087
caldwell_PR28,617,nc_house_of_representatives_district_087
caldwell_PR30,239,nc_house_of_representatives_district_087
caldwell_PR07,364,nc_house_of_representatives_district_087
caldwell_PR31,173,nc_house_of_representatives_district_087
caldwell_PR01,452,nc_house_of_representatives_district_087
caldwell_PR06,442,nc_house_of_representatives_district_087
caldwell_PR15,640,nc_house_of_representatives_district_087
caldwell_PR13,610,nc_house_of_representatives_district_087
caldwell_PR18,624,nc_house_of_representatives_district_087
caldwell_PR17,299,nc_house_of_representatives_district_087
caldwell_PR08,266,nc_house_of_representatives_district_087
caldwell_PR24,317,nc_house_of_representatives_district_087
caldwell_PR29,336,nc_house_of_representatives_district_087
caldwell_PR32,563,nc_house_of_representatives_district_087
