prec_id,Destin Hall,Terri M. Johnson (Write-In),Write-In (Miscellaneous),election
caldwell_PR01,484,15,11,nc_house_of_representatives_district_087
caldwell_PR08,302,7,1,nc_house_of_representatives_district_087
caldwell_ABSENTEE,790,42,20,nc_house_of_representatives_district_087
caldwell_PR17,260,10,3,nc_house_of_representatives_district_087
caldwell_PR32,626,7,5,nc_house_of_representatives_district_087
caldwell_PR24,240,3,7,nc_house_of_representatives_district_087
caldwell_PR29,393,23,11,nc_house_of_representatives_district_087
caldwell_PR33,809,10,12,nc_house_of_representatives_district_087
caldwell_PR18,578,21,7,nc_house_of_representatives_district_087
caldwell_PR13,696,3,11,nc_house_of_representatives_district_087
caldwell_PR02,307,3,9,nc_house_of_representatives_district_087
caldwell_PR07,420,7,8,nc_house_of_representatives_district_087
caldwell_PR25,302,1,4,nc_house_of_representatives_district_087
caldwell_PR35,349,1,4,nc_house_of_representatives_district_087
caldwell_PR22,532,4,8,nc_house_of_representatives_district_087
caldwell_PR34,760,3,12,nc_house_of_representatives_district_087
caldwell_PR14,386,12,7,nc_house_of_representatives_district_087
caldwell_PR16,176,24,6,nc_house_of_representatives_district_087
caldwell_PR21,583,7,7,nc_house_of_representatives_district_087
caldwell_PR30,292,43,10,nc_house_of_representatives_district_087
caldwell_PR31,192,9,4,nc_house_of_representatives_district_087
