prec_id,Mitchell Smith Setzer,election
catawba_21,586,nc_house_of_representatives_district_089
catawba_31,1416,nc_house_of_representatives_district_089
catawba_12,199,nc_house_of_representatives_district_089
catawba_6,876,nc_house_of_representatives_district_089
catawba_9,828,nc_house_of_representatives_district_089
catawba_10,85,nc_house_of_representatives_district_089
catawba_40,477,nc_house_of_representatives_district_089
catawba_3,721,nc_house_of_representatives_district_089
catawba_4,177,nc_house_of_representatives_district_089
catawba_25,490,nc_house_of_representatives_district_089
catawba_27,1158,nc_house_of_representatives_district_089
catawba_41,1167,nc_house_of_representatives_district_089
catawba_1,1222,nc_house_of_representatives_district_089
catawba_2,793,nc_house_of_representatives_district_089
catawba_5,928,nc_house_of_representatives_district_089
catawba_22,1000,nc_house_of_representatives_district_089
catawba_ONESTOP,63,nc_house_of_representatives_district_089
catawba_20,957,nc_house_of_representatives_district_089
catawba_32,831,nc_house_of_representatives_district_089
catawba_34,1696,nc_house_of_representatives_district_089
catawba_35,544,nc_house_of_representatives_district_089
