prec_id,Charles Jeter,Robin Bradford,election
mecklenburg_CURBSIDE,16,28,nc_house_of_representatives_district_092
mecklenburg_209,956,742,nc_house_of_representatives_district_092
mecklenburg_229,1284,1259,nc_house_of_representatives_district_092
mecklenburg_243,1175,1705,nc_house_of_representatives_district_092
mecklenburg_122,759,1136,nc_house_of_representatives_district_092
mecklenburg_225,151,109,nc_house_of_representatives_district_092
mecklenburg_228,328,607,nc_house_of_representatives_district_092
mecklenburg_134,1251,1011,nc_house_of_representatives_district_092
mecklenburg_230,718,1063,nc_house_of_representatives_district_092
mecklenburg_114,920,506,nc_house_of_representatives_district_092
mecklenburg_138,41,89,nc_house_of_representatives_district_092
mecklenburg_223.1,859,636,nc_house_of_representatives_district_092
mecklenburg_142,479,302,nc_house_of_representatives_district_092
mecklenburg_143,1637,780,nc_house_of_representatives_district_092
mecklenburg_224,310,154,nc_house_of_representatives_district_092
mecklenburg_200,371,279,nc_house_of_representatives_district_092
