prec_id,Beth Danae Caulfield,Chaz Beasley,election
mecklenburg_223.1,1255,1213,nc_house_of_representatives_district_092
mecklenburg_142,836,625,nc_house_of_representatives_district_092
mecklenburg_CURBSIDE 41-60,55,85,nc_house_of_representatives_district_092
mecklenburg_229,2288,2984,nc_house_of_representatives_district_092
mecklenburg_209,1450,1287,nc_house_of_representatives_district_092
mecklenburg_224,472,317,nc_house_of_representatives_district_092
mecklenburg_CURBSIDE 61-80,20,17,nc_house_of_representatives_district_092
mecklenburg_122,1236,2223,nc_house_of_representatives_district_092
mecklenburg_114,1220,818,nc_house_of_representatives_district_092
mecklenburg_134,2234,2159,nc_house_of_representatives_district_092
mecklenburg_243,2045,3874,nc_house_of_representatives_district_092
mecklenburg_CURBSIDE 81-96,0,4,nc_house_of_representatives_district_092
mecklenburg_129,2,1,nc_house_of_representatives_district_092
mecklenburg_143,2230,1535,nc_house_of_representatives_district_092
mecklenburg_138,90,252,nc_house_of_representatives_district_092
mecklenburg_228,489,1133,nc_house_of_representatives_district_092
mecklenburg_225,339,277,nc_house_of_representatives_district_092
mecklenburg_200,646,655,nc_house_of_representatives_district_092
mecklenburg_230,1095,2492,nc_house_of_representatives_district_092
