prec_id,Jonathan C. Jordan,Sue Counts,election
ashe_12,181,73,nc_house_of_representatives_district_093
ashe_15,218,86,nc_house_of_representatives_district_093
ashe_17,212,86,nc_house_of_representatives_district_093
ashe_14,333,230,nc_house_of_representatives_district_093
ashe_16,358,197,nc_house_of_representatives_district_093
ashe_20,457,340,nc_house_of_representatives_district_093
ashe_4,77,73,nc_house_of_representatives_district_093
ashe_7,74,75,nc_house_of_representatives_district_093
ashe_2,254,172,nc_house_of_representatives_district_093
ashe_8,29,41,nc_house_of_representatives_district_093
ashe_ONESTOP,1778,1370,nc_house_of_representatives_district_093
ashe_11,354,272,nc_house_of_representatives_district_093
ashe_10,59,33,nc_house_of_representatives_district_093
ashe_13,217,148,nc_house_of_representatives_district_093
ashe_18,40,16,nc_house_of_representatives_district_093
ashe_6,113,82,nc_house_of_representatives_district_093
ashe_9,488,412,nc_house_of_representatives_district_093
ashe_3,156,47,nc_house_of_representatives_district_093
watauga_12,60,110,nc_house_of_representatives_district_093
watauga_15,401,310,nc_house_of_representatives_district_093
watauga_17,121,97,nc_house_of_representatives_district_093
watauga_7,368,288,nc_house_of_representatives_district_093
watauga_13,159,188,nc_house_of_representatives_district_093
watauga_10,176,117,nc_house_of_representatives_district_093
watauga_6,75,125,nc_house_of_representatives_district_093
watauga_3,359,329,nc_house_of_representatives_district_093
watauga_9,127,74,nc_house_of_representatives_district_093
watauga_18,397,172,nc_house_of_representatives_district_093
watauga_2,259,119,nc_house_of_representatives_district_093
watauga_5,66,168,nc_house_of_representatives_district_093
watauga_8,404,241,nc_house_of_representatives_district_093
watauga_ONESTOP,3115,4561,nc_house_of_representatives_district_093
watauga_11,389,210,nc_house_of_representatives_district_093
watauga_14,295,255,nc_house_of_representatives_district_093
watauga_16,43,10,nc_house_of_representatives_district_093
watauga_19,531,315,nc_house_of_representatives_district_093
watauga_4,527,311,nc_house_of_representatives_district_093
watauga_1,80,62,nc_house_of_representatives_district_093
watauga_20,91,55,nc_house_of_representatives_district_093
