prec_id,Jeffrey Elmore,election
alleghany_1,474,nc_house_of_representatives_district_094
alleghany_CURBSIDE,0,nc_house_of_representatives_district_094
alleghany_2,109,nc_house_of_representatives_district_094
alleghany_5,203,nc_house_of_representatives_district_094
alleghany_3,1067,nc_house_of_representatives_district_094
alleghany_6,261,nc_house_of_representatives_district_094
alleghany_4,539,nc_house_of_representatives_district_094
alleghany_7,256,nc_house_of_representatives_district_094
wilkes_107,618,nc_house_of_representatives_district_094
wilkes_ONESTOP,3639,nc_house_of_representatives_district_094
wilkes_104,336,nc_house_of_representatives_district_094
wilkes_105,341,nc_house_of_representatives_district_094
wilkes_102,363,nc_house_of_representatives_district_094
wilkes_108,284,nc_house_of_representatives_district_094
wilkes_109,169,nc_house_of_representatives_district_094
wilkes_111,406,nc_house_of_representatives_district_094
wilkes_117,409,nc_house_of_representatives_district_094
wilkes_123,229,nc_house_of_representatives_district_094
wilkes_128,663,nc_house_of_representatives_district_094
wilkes_113,345,nc_house_of_representatives_district_094
wilkes_114,186,nc_house_of_representatives_district_094
wilkes_120,397,nc_house_of_representatives_district_094
wilkes_126,205,nc_house_of_representatives_district_094
wilkes_129,569,nc_house_of_representatives_district_094
wilkes_106,265,nc_house_of_representatives_district_094
wilkes_112,568,nc_house_of_representatives_district_094
wilkes_118,358,nc_house_of_representatives_district_094
wilkes_110,91,nc_house_of_representatives_district_094
wilkes_121,415,nc_house_of_representatives_district_094
wilkes_127,447,nc_house_of_representatives_district_094
wilkes_125,202,nc_house_of_representatives_district_094
wilkes_119,727,nc_house_of_representatives_district_094
wilkes_101,184,nc_house_of_representatives_district_094
wilkes_115A,747,nc_house_of_representatives_district_094
