prec_id,John A. Fraley,election
iredell_DV1-B,3323,nc_house_of_representatives_district_095
iredell_CC1,1765,nc_house_of_representatives_district_095
iredell_ST6,721,nc_house_of_representatives_district_095
iredell_DV2-B,1400,nc_house_of_representatives_district_095
iredell_BA,1364,nc_house_of_representatives_district_095
iredell_CC3,2265,nc_house_of_representatives_district_095
iredell_DV2-A,1539,nc_house_of_representatives_district_095
iredell_CC2,1437,nc_house_of_representatives_district_095
iredell_CC4,1662,nc_house_of_representatives_district_095
iredell_CH-B,730,nc_house_of_representatives_district_095
iredell_DV1-A,2245,nc_house_of_representatives_district_095
