prec_id,Cliff Moone,Jay Adams,election
catawba_ONESTOP,39,64,nc_house_of_representatives_district_096
catawba_37,387,605,nc_house_of_representatives_district_096
catawba_33,610,1740,nc_house_of_representatives_district_096
catawba_30,505,826,nc_house_of_representatives_district_096
catawba_13,276,160,nc_house_of_representatives_district_096
catawba_29,262,761,nc_house_of_representatives_district_096
catawba_8,263,884,nc_house_of_representatives_district_096
catawba_11,200,266,nc_house_of_representatives_district_096
catawba_14,321,540,nc_house_of_representatives_district_096
catawba_19,176,287,nc_house_of_representatives_district_096
catawba_28,323,853,nc_house_of_representatives_district_096
catawba_7,405,677,nc_house_of_representatives_district_096
catawba_16,369,478,nc_house_of_representatives_district_096
catawba_38,429,991,nc_house_of_representatives_district_096
catawba_39,316,967,nc_house_of_representatives_district_096
catawba_36,360,819,nc_house_of_representatives_district_096
catawba_15,307,12,nc_house_of_representatives_district_096
catawba_17,225,339,nc_house_of_representatives_district_096
catawba_23,503,1263,nc_house_of_representatives_district_096
catawba_24,428,1297,nc_house_of_representatives_district_096
catawba_26,334,621,nc_house_of_representatives_district_096
