prec_id,Jane Campbell,John R. Bradford III,election
mecklenburg_240,1461,2520,nc_house_of_representatives_district_098
mecklenburg_142,901,1455,nc_house_of_representatives_district_098
mecklenburg_239,952,446,nc_house_of_representatives_district_098
mecklenburg_CURBSIDE 41-60,157,132,nc_house_of_representatives_district_098
mecklenburg_241,1705,2235,nc_house_of_representatives_district_098
mecklenburg_206,2255,1454,nc_house_of_representatives_district_098
mecklenburg_127,1366,1880,nc_house_of_representatives_district_098
mecklenburg_202,2171,3118,nc_house_of_representatives_district_098
mecklenburg_145,3391,2567,nc_house_of_representatives_district_098
mecklenburg_207,1304,2131,nc_house_of_representatives_district_098
mecklenburg_133,1178,2058,nc_house_of_representatives_district_098
mecklenburg_CURBSIDE 81-96,12,5,nc_house_of_representatives_district_098
mecklenburg_208,1059,2239,nc_house_of_representatives_district_098
mecklenburg_242,510,1560,nc_house_of_representatives_district_098
