prec_id,Rodney W. Moore,election
mecklenburg_CURBSIDE 21-40,171,nc_house_of_representatives_district_099
mecklenburg_4,1162,nc_house_of_representatives_district_099
mecklenburg_123,1438,nc_house_of_representatives_district_099
mecklenburg_CURBSIDE 41-60,9,nc_house_of_representatives_district_099
mecklenburg_83,815,nc_house_of_representatives_district_099
mecklenburg_203,2384,nc_house_of_representatives_district_099
mecklenburg_201,1648,nc_house_of_representatives_district_099
mecklenburg_6,380,nc_house_of_representatives_district_099
mecklenburg_CURBSIDE 61-80,32,nc_house_of_representatives_district_099
mecklenburg_95,1066,nc_house_of_representatives_district_099
mecklenburg_104,1773,nc_house_of_representatives_district_099
mecklenburg_CURBSIDE 1-20,465,nc_house_of_representatives_district_099
mecklenburg_204.1,3050,nc_house_of_representatives_district_099
mecklenburg_108,1252,nc_house_of_representatives_district_099
mecklenburg_43,1620,nc_house_of_representatives_district_099
mecklenburg_84,1207,nc_house_of_representatives_district_099
mecklenburg_116,868,nc_house_of_representatives_district_099
mecklenburg_60,1217,nc_house_of_representatives_district_099
mecklenburg_61,559,nc_house_of_representatives_district_099
mecklenburg_149,3149,nc_house_of_representatives_district_099
mecklenburg_124,1454,nc_house_of_representatives_district_099
mecklenburg_3,1314,nc_house_of_representatives_district_099
mecklenburg_205,918,nc_house_of_representatives_district_099
