prec_id,Beverly Miller Earle,Justin Dunn,election
mecklenburg_223.1,1624,464,nc_house_of_representatives_district_101
mecklenburg_CURBSIDE 21-40,24,8,nc_house_of_representatives_district_101
mecklenburg_89,2729,1154,nc_house_of_representatives_district_101
mecklenburg_41,1397,135,nc_house_of_representatives_district_101
mecklenburg_CURBSIDE 41-60,88,20,nc_house_of_representatives_district_101
mecklenburg_80,1436,448,nc_house_of_representatives_district_101
mecklenburg_53,1418,114,nc_house_of_representatives_district_101
mecklenburg_222,3468,896,nc_house_of_representatives_district_101
mecklenburg_12,1414,124,nc_house_of_representatives_district_101
mecklenburg_209,80,224,nc_house_of_representatives_district_101
mecklenburg_224,673,201,nc_house_of_representatives_district_101
mecklenburg_CURBSIDE 61-80,4,2,nc_house_of_representatives_district_101
mecklenburg_CURBSIDE 1-20,471,83,nc_house_of_representatives_district_101
mecklenburg_211,2473,1035,nc_house_of_representatives_district_101
mecklenburg_210,14,21,nc_house_of_representatives_district_101
mecklenburg_150,1478,761,nc_house_of_representatives_district_101
mecklenburg_81,2149,420,nc_house_of_representatives_district_101
mecklenburg_40,1330,155,nc_house_of_representatives_district_101
mecklenburg_11,2205,1311,nc_house_of_representatives_district_101
mecklenburg_24,1450,250,nc_house_of_representatives_district_101
mecklenburg_79,837,361,nc_house_of_representatives_district_101
