prec_id,Bill Brawley,election
mecklenburg_CURBSIDE,25,nc_house_of_representatives_district_103
mecklenburg_116,0,nc_house_of_representatives_district_103
mecklenburg_205,507,nc_house_of_representatives_district_103
mecklenburg_203,232,nc_house_of_representatives_district_103
mecklenburg_201,783,nc_house_of_representatives_district_103
mecklenburg_83,365,nc_house_of_representatives_district_103
mecklenburg_115,18,nc_house_of_representatives_district_103
mecklenburg_94,73,nc_house_of_representatives_district_103
mecklenburg_102,337,nc_house_of_representatives_district_103
mecklenburg_235,720,nc_house_of_representatives_district_103
mecklenburg_217,158,nc_house_of_representatives_district_103
mecklenburg_221,1481,nc_house_of_representatives_district_103
mecklenburg_236,1244,nc_house_of_representatives_district_103
mecklenburg_234,739,nc_house_of_representatives_district_103
mecklenburg_218,876,nc_house_of_representatives_district_103
mecklenburg_219,715,nc_house_of_representatives_district_103
mecklenburg_215,992,nc_house_of_representatives_district_103
mecklenburg_136,728,nc_house_of_representatives_district_103
mecklenburg_220,1090,nc_house_of_representatives_district_103
mecklenburg_91,751,nc_house_of_representatives_district_103
mecklenburg_233,1320,nc_house_of_representatives_district_103
mecklenburg_216,1145,nc_house_of_representatives_district_103
mecklenburg_227,452,nc_house_of_representatives_district_103
