prec_id,Andy Dulin,Peter Noris,election
mecklenburg_217,219,229,nc_house_of_representatives_district_104
mecklenburg_CURBSIDE 21-40,116,95,nc_house_of_representatives_district_104
mecklenburg_91,221,115,nc_house_of_representatives_district_104
mecklenburg_71,854,372,nc_house_of_representatives_district_104
mecklenburg_65,507,496,nc_house_of_representatives_district_104
mecklenburg_68,426,744,nc_house_of_representatives_district_104
mecklenburg_7,389,791,nc_house_of_representatives_district_104
mecklenburg_103,1342,977,nc_house_of_representatives_district_104
mecklenburg_110,567,427,nc_house_of_representatives_district_104
mecklenburg_90,622,536,nc_house_of_representatives_district_104
mecklenburg_119,581,470,nc_house_of_representatives_district_104
mecklenburg_100,1024,873,nc_house_of_representatives_district_104
mecklenburg_35,577,542,nc_house_of_representatives_district_104
mecklenburg_73,654,564,nc_house_of_representatives_district_104
mecklenburg_67,565,451,nc_house_of_representatives_district_104
mecklenburg_226,269,249,nc_house_of_representatives_district_104
mecklenburg_121,646,348,nc_house_of_representatives_district_104
mecklenburg_69,1728,1105,nc_house_of_representatives_district_104
mecklenburg_72,644,460,nc_house_of_representatives_district_104
mecklenburg_36,877,805,nc_house_of_representatives_district_104
mecklenburg_CURBSIDE 1-20,60,72,nc_house_of_representatives_district_104
mecklenburg_86,445,227,nc_house_of_representatives_district_104
mecklenburg_118,1003,850,nc_house_of_representatives_district_104
mecklenburg_CURBSIDE 81-96,2,2,nc_house_of_representatives_district_104
mecklenburg_85,580,681,nc_house_of_representatives_district_104
mecklenburg_70,958,589,nc_house_of_representatives_district_104
mecklenburg_74,1147,750,nc_house_of_representatives_district_104
mecklenburg_106,675,552,nc_house_of_representatives_district_104
mecklenburg_111,1082,844,nc_house_of_representatives_district_104
mecklenburg_96,711,735,nc_house_of_representatives_district_104
mecklenburg_66,514,585,nc_house_of_representatives_district_104
mecklenburg_64,229,363,nc_house_of_representatives_district_104
mecklenburg_131,782,479,nc_house_of_representatives_district_104
mecklenburg_48,978,429,nc_house_of_representatives_district_104
mecklenburg_47,637,492,nc_house_of_representatives_district_104
