prec_id,Connie Green-Johnson,Scott Stone,election
mecklenburg_CURBSIDE 21-40,47,53,nc_house_of_representatives_district_105
mecklenburg_91,359,600,nc_house_of_representatives_district_105
mecklenburg_148,3433,3287,nc_house_of_representatives_district_105
mecklenburg_88,67,59,nc_house_of_representatives_district_105
mecklenburg_CURBSIDE 41-60,33,32,nc_house_of_representatives_district_105
mecklenburg_139.1,969,1338,nc_house_of_representatives_district_105
mecklenburg_121,622,1119,nc_house_of_representatives_district_105
mecklenburg_231,1581,1123,nc_house_of_representatives_district_105
mecklenburg_87,521,399,nc_house_of_representatives_district_105
mecklenburg_112,571,990,nc_house_of_representatives_district_105
mecklenburg_140,1571,1974,nc_house_of_representatives_district_105
mecklenburg_CURBSIDE 81-96,2,9,nc_house_of_representatives_district_105
mecklenburg_129,544,225,nc_house_of_representatives_district_105
mecklenburg_232,1437,1959,nc_house_of_representatives_district_105
mecklenburg_144,982,1343,nc_house_of_representatives_district_105
mecklenburg_137,1381,2343,nc_house_of_representatives_district_105
mecklenburg_225,325,383,nc_house_of_representatives_district_105
mecklenburg_227,1179,1507,nc_house_of_representatives_district_105
mecklenburg_113,907,1467,nc_house_of_representatives_district_105
