prec_id,Kelly Alexander,election
mecklenburg_CURBSIDE,657,nc_house_of_representatives_district_107
mecklenburg_239,346,nc_house_of_representatives_district_107
mecklenburg_30,211,nc_house_of_representatives_district_107
mecklenburg_11,540,nc_house_of_representatives_district_107
mecklenburg_210,2218,nc_house_of_representatives_district_107
mecklenburg_211,909,nc_house_of_representatives_district_107
mecklenburg_14,275,nc_house_of_representatives_district_107
mecklenburg_27,389,nc_house_of_representatives_district_107
mecklenburg_56,444,nc_house_of_representatives_district_107
mecklenburg_141,103,nc_house_of_representatives_district_107
mecklenburg_151,1203,nc_house_of_representatives_district_107
mecklenburg_55,610,nc_house_of_representatives_district_107
mecklenburg_237,1061,nc_house_of_representatives_district_107
mecklenburg_16,1384,nc_house_of_representatives_district_107
mecklenburg_128,875,nc_house_of_representatives_district_107
mecklenburg_25,855,nc_house_of_representatives_district_107
mecklenburg_54,1014,nc_house_of_representatives_district_107
mecklenburg_214,1119,nc_house_of_representatives_district_107
mecklenburg_212,2621,nc_house_of_representatives_district_107
mecklenburg_238.1,856,nc_house_of_representatives_district_107
