prec_id,John A. Torbett,election
gaston_OS-DALLAS,1267,nc_house_of_representatives_district_108
gaston_32,568,nc_house_of_representatives_district_108
gaston_7,35,nc_house_of_representatives_district_108
gaston_25,347,nc_house_of_representatives_district_108
gaston_43,619,nc_house_of_representatives_district_108
gaston_46,517,nc_house_of_representatives_district_108
gaston_OS-CHERRYVILLE,15,nc_house_of_representatives_district_108
gaston_12,402,nc_house_of_representatives_district_108
gaston_10,276,nc_house_of_representatives_district_108
gaston_OS-BOE,3415,nc_house_of_representatives_district_108
gaston_ABSENTEE,1058,nc_house_of_representatives_district_108
gaston_9,192,nc_house_of_representatives_district_108
gaston_26,417,nc_house_of_representatives_district_108
gaston_OS-LIBRARY,2549,nc_house_of_representatives_district_108
gaston_24,479,nc_house_of_representatives_district_108
gaston_45,401,nc_house_of_representatives_district_108
gaston_18,624,nc_house_of_representatives_district_108
gaston_13,476,nc_house_of_representatives_district_108
gaston_30,436,nc_house_of_representatives_district_108
gaston_8,161,nc_house_of_representatives_district_108
gaston_44,684,nc_house_of_representatives_district_108
gaston_42,537,nc_house_of_representatives_district_108
gaston_OS-MOUNT HOLLY,8145,nc_house_of_representatives_district_108
gaston_OS-FBC GASTONIA,743,nc_house_of_representatives_district_108
gaston_14,187,nc_house_of_representatives_district_108
