prec_id,Dana Bumgardner,Susan Maxon,election
gaston_11,114,176,nc_house_of_representatives_district_109
gaston_1,114,99,nc_house_of_representatives_district_109
gaston_OS-DALLAS,312,106,nc_house_of_representatives_district_109
gaston_16,455,142,nc_house_of_representatives_district_109
gaston_19,464,214,nc_house_of_representatives_district_109
gaston_4,599,273,nc_house_of_representatives_district_109
gaston_28,602,232,nc_house_of_representatives_district_109
gaston_27,740,206,nc_house_of_representatives_district_109
gaston_OS-CHERRYVILLE,21,8,nc_house_of_representatives_district_109
gaston_15,572,295,nc_house_of_representatives_district_109
gaston_17,331,213,nc_house_of_representatives_district_109
gaston_OS-BOE,5106,5814,nc_house_of_representatives_district_109
gaston_ABSENTEE,955,356,nc_house_of_representatives_district_109
gaston_6,76,246,nc_house_of_representatives_district_109
gaston_23,562,267,nc_house_of_representatives_district_109
gaston_OS-LIBRARY,2540,1663,nc_house_of_representatives_district_109
gaston_3,122,253,nc_house_of_representatives_district_109
gaston_31,469,128,nc_house_of_representatives_district_109
gaston_2,182,244,nc_house_of_representatives_district_109
gaston_5,86,231,nc_house_of_representatives_district_109
gaston_29,531,172,nc_house_of_representatives_district_109
gaston_OS-MOUNT HOLLY,2290,936,nc_house_of_representatives_district_109
gaston_OS-FBC GASTONIA,4362,1424,nc_house_of_representatives_district_109
