prec_id,Kelly E. Hastings,election
cleveland_WACO,953,nc_house_of_representatives_district_110
cleveland_S 4A,1188,nc_house_of_representatives_district_110
cleveland_S C,1390,nc_house_of_representatives_district_110
cleveland_S 5,750,nc_house_of_representatives_district_110
gaston_ONESTOP,3810,nc_house_of_representatives_district_110
gaston_5,43,nc_house_of_representatives_district_110
gaston_33,307,nc_house_of_representatives_district_110
gaston_40,496,nc_house_of_representatives_district_110
gaston_36,753,nc_house_of_representatives_district_110
gaston_41,424,nc_house_of_representatives_district_110
gaston_37,389,nc_house_of_representatives_district_110
gaston_21,338,nc_house_of_representatives_district_110
gaston_22,751,nc_house_of_representatives_district_110
gaston_20,577,nc_house_of_representatives_district_110
gaston_38,476,nc_house_of_representatives_district_110
gaston_39,668,nc_house_of_representatives_district_110
gaston_34,414,nc_house_of_representatives_district_110
gaston_35,383,nc_house_of_representatives_district_110
