prec_id,Kelly Hastings,election
cleveland_S 5,1045,nc_house_of_representatives_district_110
cleveland_WACO,1477,nc_house_of_representatives_district_110
cleveland_S C,1960,nc_house_of_representatives_district_110
cleveland_S 4A,1855,nc_house_of_representatives_district_110
gaston_OS-DALLAS,7030,nc_house_of_representatives_district_110
gaston_20,517,nc_house_of_representatives_district_110
gaston_39,690,nc_house_of_representatives_district_110
gaston_38,365,nc_house_of_representatives_district_110
gaston_41,319,nc_house_of_representatives_district_110
gaston_OS-CHERRYVILLE,2461,nc_house_of_representatives_district_110
gaston_36,474,nc_house_of_representatives_district_110
gaston_OS-BOE,2463,nc_house_of_representatives_district_110
gaston_ABSENTEE,555,nc_house_of_representatives_district_110
gaston_40,416,nc_house_of_representatives_district_110
gaston_OS-LIBRARY,442,nc_house_of_representatives_district_110
gaston_33,293,nc_house_of_representatives_district_110
gaston_21,307,nc_house_of_representatives_district_110
gaston_37,294,nc_house_of_representatives_district_110
gaston_5,25,nc_house_of_representatives_district_110
gaston_22,630,nc_house_of_representatives_district_110
gaston_OS-MOUNT HOLLY,366,nc_house_of_representatives_district_110
gaston_OS-FBC GASTONIA,203,nc_house_of_representatives_district_110
gaston_35,278,nc_house_of_representatives_district_110
gaston_34,399,nc_house_of_representatives_district_110
