prec_id,Tim Moore,election
cleveland_KM N,2288,nc_house_of_representatives_district_111
cleveland_KM S,2058,nc_house_of_representatives_district_111
cleveland_RIPPY,1813,nc_house_of_representatives_district_111
cleveland_POLKVL,1292,nc_house_of_representatives_district_111
cleveland_SHANGI,1408,nc_house_of_representatives_district_111
cleveland_OAKGRV,1916,nc_house_of_representatives_district_111
cleveland_LATT,1509,nc_house_of_representatives_district_111
cleveland_MULLS,1134,nc_house_of_representatives_district_111
cleveland_BETHWR,1028,nc_house_of_representatives_district_111
cleveland_BR,2560,nc_house_of_representatives_district_111
cleveland_LAWNDL,733,nc_house_of_representatives_district_111
cleveland_KINGST,310,nc_house_of_representatives_district_111
cleveland_GROVER,1635,nc_house_of_representatives_district_111
cleveland_S C,642,nc_house_of_representatives_district_111
cleveland_FALSTN,944,nc_house_of_representatives_district_111
cleveland_CASAR,855,nc_house_of_representatives_district_111
cleveland_MRB-YO,871,nc_house_of_representatives_district_111
cleveland_S S,2402,nc_house_of_representatives_district_111
