prec_id,Lisa Harris Bralley,Mike Hager,election
burke_ONESTOP,0,0,nc_house_of_representatives_district_112
burke_0029-B,161,301,nc_house_of_representatives_district_112
burke_64,126,213,nc_house_of_representatives_district_112
burke_53,258,543,nc_house_of_representatives_district_112
burke_0029-A,89,342,nc_house_of_representatives_district_112
burke_65,126,283,nc_house_of_representatives_district_112
rutherford_CURBSIDE,109,120,nc_house_of_representatives_district_112
rutherford_27,754,969,nc_house_of_representatives_district_112
rutherford_28,248,422,nc_house_of_representatives_district_112
rutherford_06A,411,649,nc_house_of_representatives_district_112
rutherford_19,288,404,nc_house_of_representatives_district_112
rutherford_04A,355,596,nc_house_of_representatives_district_112
rutherford_14,535,427,nc_house_of_representatives_district_112
rutherford_34,222,431,nc_house_of_representatives_district_112
rutherford_10A,132,405,nc_house_of_representatives_district_112
rutherford_16A,411,706,nc_house_of_representatives_district_112
rutherford_09A,534,856,nc_house_of_representatives_district_112
rutherford_29,365,418,nc_house_of_representatives_district_112
rutherford_11,953,1288,nc_house_of_representatives_district_112
rutherford_03A,350,633,nc_house_of_representatives_district_112
rutherford_05A,417,523,nc_house_of_representatives_district_112
rutherford_13,944,685,nc_house_of_representatives_district_112
rutherford_18,393,567,nc_house_of_representatives_district_112
rutherford_30,637,650,nc_house_of_representatives_district_112
