prec_id,Frank Moretz,John Ager,election
buncombe_OS ABTC,79,164,nc_house_of_representatives_district_115
buncombe_71.1,363,321,nc_house_of_representatives_district_115
buncombe_57.1,113,66,nc_house_of_representatives_district_115
buncombe_37.1,238,187,nc_house_of_representatives_district_115
buncombe_33.3,207,196,nc_house_of_representatives_district_115
buncombe_22.2,65,77,nc_house_of_representatives_district_115
buncombe_62.1,263,298,nc_house_of_representatives_district_115
buncombe_61.1,291,291,nc_house_of_representatives_district_115
buncombe_38.3,368,238,nc_house_of_representatives_district_115
buncombe_OS LCBL,895,572,nc_house_of_representatives_district_115
buncombe_OS PCBC,9,4,nc_house_of_representatives_district_115
buncombe_OS BTFD,1298,1854,nc_house_of_representatives_district_115
buncombe_34.1,129,140,nc_house_of_representatives_district_115
buncombe_OS WOCO,231,227,nc_house_of_representatives_district_115
buncombe_OS WABL,78,195,nc_house_of_representatives_district_115
buncombe_64.1,179,152,nc_house_of_representatives_district_115
buncombe_67.1,171,179,nc_house_of_representatives_district_115
buncombe_OS UNCA,99,449,nc_house_of_representatives_district_115
buncombe_65.1,207,266,nc_house_of_representatives_district_115
buncombe_51.2,256,183,nc_house_of_representatives_district_115
buncombe_38.2,240,145,nc_house_of_representatives_district_115
buncombe_39.3,214,216,nc_house_of_representatives_district_115
buncombe_OS BMBL,2120,3613,nc_house_of_representatives_district_115
buncombe_60.2,115,146,nc_house_of_representatives_district_115
buncombe_36.1,220,188,nc_house_of_representatives_district_115
buncombe_41.1,438,256,nc_house_of_representatives_district_115
buncombe_OS SBBL,181,239,nc_house_of_representatives_district_115
buncombe_OS WVTH,3992,4606,nc_house_of_representatives_district_115
buncombe_OS ECBL,53,68,nc_house_of_representatives_district_115
buncombe_OS ACCC,37,24,nc_house_of_representatives_district_115
buncombe_40.2,435,262,nc_house_of_representatives_district_115
buncombe_OS PACK,50,364,nc_house_of_representatives_district_115
buncombe_33.2,124,141,nc_house_of_representatives_district_115
buncombe_50.1,334,220,nc_house_of_representatives_district_115
buncombe_32.1,222,170,nc_house_of_representatives_district_115
buncombe_OS AVML,655,1336,nc_house_of_representatives_district_115
buncombe_39.2,125,161,nc_house_of_representatives_district_115
buncombe_5.1,92,86,nc_house_of_representatives_district_115
buncombe_35.1,142,195,nc_house_of_representatives_district_115
buncombe_OS MORC,138,232,nc_house_of_representatives_district_115
buncombe_60.4,47,32,nc_house_of_representatives_district_115
buncombe_52.1,251,164,nc_house_of_representatives_district_115
buncombe_59.1,378,292,nc_house_of_representatives_district_115
buncombe_OS WGSC,39,130,nc_house_of_representatives_district_115
buncombe_70.1,68,102,nc_house_of_representatives_district_115
buncombe_ABSENTEE,0,0,nc_house_of_representatives_district_115
buncombe_OS FVBL,2501,2949,nc_house_of_representatives_district_115
buncombe_OS FCAM,40,203,nc_house_of_representatives_district_115
buncombe_OS NHPC,281,274,nc_house_of_representatives_district_115
buncombe_25.1,210,288,nc_house_of_representatives_district_115
buncombe_OS NABL,752,1933,nc_house_of_representatives_district_115
buncombe_58.1,150,163,nc_house_of_representatives_district_115
