prec_id,Brian Turner,Tim Moffitt,election
buncombe_19.1,25,8,nc_house_of_representatives_district_116
buncombe_29.2,292,146,nc_house_of_representatives_district_116
buncombe_24.1,125,107,nc_house_of_representatives_district_116
buncombe_68.1,604,696,nc_house_of_representatives_district_116
buncombe_57.1,301,359,nc_house_of_representatives_district_116
buncombe_ONESTOP,4621,3168,nc_house_of_representatives_district_116
buncombe_52.1,189,223,nc_house_of_representatives_district_116
buncombe_49.1,590,759,nc_house_of_representatives_district_116
buncombe_45.1,446,515,nc_house_of_representatives_district_116
buncombe_48.1,463,589,nc_house_of_representatives_district_116
buncombe_54.2,480,437,nc_house_of_representatives_district_116
buncombe_56.2,505,391,nc_house_of_representatives_district_116
buncombe_31.1,344,287,nc_house_of_representatives_district_116
buncombe_44.1,490,468,nc_house_of_representatives_district_116
buncombe_47.1,509,684,nc_house_of_representatives_district_116
buncombe_69.1,551,585,nc_house_of_representatives_district_116
buncombe_30.2,246,306,nc_house_of_representatives_district_116
buncombe_681,66,110,nc_house_of_representatives_district_116
buncombe_63.1,141,120,nc_house_of_representatives_district_116
buncombe_30.3,395,460,nc_house_of_representatives_district_116
buncombe_55.1,586,569,nc_house_of_representatives_district_116
buncombe_46.1,229,178,nc_house_of_representatives_district_116
buncombe_18.2,545,487,nc_house_of_representatives_district_116
buncombe_53.1,555,669,nc_house_of_representatives_district_116
