prec_id,Roger West,election
cherokee_MARB,531,nc_house_of_representatives_district_120
cherokee_ANSW,585,nc_house_of_representatives_district_120
cherokee_ANNW,579,nc_house_of_representatives_district_120
cherokee_MURS,827,nc_house_of_representatives_district_120
cherokee_TOPT,190,nc_house_of_representatives_district_120
cherokee_UNKA,170,nc_house_of_representatives_district_120
cherokee_BELL,401,nc_house_of_representatives_district_120
cherokee_BRAS,325,nc_house_of_representatives_district_120
cherokee_MURN,759,nc_house_of_representatives_district_120
cherokee_HOTH,451,nc_house_of_representatives_district_120
cherokee_GCRK,193,nc_house_of_representatives_district_120
cherokee_PCHT,801,nc_house_of_representatives_district_120
cherokee_HANG,330,nc_house_of_representatives_district_120
cherokee_RGER,543,nc_house_of_representatives_district_120
cherokee_HIWA,659,nc_house_of_representatives_district_120
cherokee_CSON,300,nc_house_of_representatives_district_120
clay_HAY2,533,nc_house_of_representatives_district_120
clay_HAYC,175,nc_house_of_representatives_district_120
clay_BRAS,331,nc_house_of_representatives_district_120
clay_HAY1,506,nc_house_of_representatives_district_120
clay_HIAW,559,nc_house_of_representatives_district_120
clay_SHCR,550,nc_house_of_representatives_district_120
clay_SWEE,267,nc_house_of_representatives_district_120
clay_WARN,273,nc_house_of_representatives_district_120
clay_TUSQ,297,nc_house_of_representatives_district_120
graham_TAPO,207,nc_house_of_representatives_district_120
graham_STEC,472,nc_house_of_representatives_district_120
graham_EAST,1036,nc_house_of_representatives_district_120
graham_WEST,941,nc_house_of_representatives_district_120
macon_10,133,nc_house_of_representatives_district_120
macon_4,248,nc_house_of_representatives_district_120
macon_7,335,nc_house_of_representatives_district_120
macon_12,413,nc_house_of_representatives_district_120
macon_15,401,nc_house_of_representatives_district_120
macon_3,318,nc_house_of_representatives_district_120
macon_6,302,nc_house_of_representatives_district_120
macon_13,180,nc_house_of_representatives_district_120
macon_9,426,nc_house_of_representatives_district_120
macon_11,520,nc_house_of_representatives_district_120
macon_2,201,nc_house_of_representatives_district_120
macon_14,214,nc_house_of_representatives_district_120
macon_ONESTOP,3812,nc_house_of_representatives_district_120
macon_1,305,nc_house_of_representatives_district_120
macon_5,410,nc_house_of_representatives_district_120
macon_8,131,nc_house_of_representatives_district_120
