prec_id,Bill Cook,Stan M. White,election
beaufort_PINET,277,77,nc_state_senate_district_01
beaufort_ONESTOP,3892,3939,nc_state_senate_district_01
beaufort_SURBA,500,252,nc_state_senate_district_01
beaufort_RVRD,344,234,nc_state_senate_district_01
beaufort_GILEA,218,119,nc_state_senate_district_01
beaufort_HB,229,77,nc_state_senate_district_01
beaufort_NCRK,338,153,nc_state_senate_district_01
beaufort_PANTE,274,183,nc_state_senate_district_01
beaufort_AUROR,177,202,nc_state_senate_district_01
beaufort_WASH2,125,220,nc_state_senate_district_01
beaufort_WASH1,113,214,nc_state_senate_district_01
beaufort_BEADM,436,106,nc_state_senate_district_01
beaufort_CHOCO,436,270,nc_state_senate_district_01
beaufort_WASHP,242,169,nc_state_senate_district_01
beaufort_TCRK,467,227,nc_state_senate_district_01
beaufort_EDWAR,180,170,nc_state_senate_district_01
beaufort_PSJW3,63,246,nc_state_senate_district_01
beaufort_BELHV,205,241,nc_state_senate_district_01
beaufort_WASH4,228,209,nc_state_senate_district_01
beaufort_WDPD,299,159,nc_state_senate_district_01
beaufort_OLDF,191,169,nc_state_senate_district_01
beaufort_BLCK,136,175,nc_state_senate_district_01
camden_SM,435,265,nc_state_senate_district_01
camden_SH,355,145,nc_state_senate_district_01
camden_ONESTOP,645,621,nc_state_senate_district_01
camden_CH,411,230,nc_state_senate_district_01
currituck_CI,71,41,nc_state_senate_district_01
currituck_CB,37,35,nc_state_senate_district_01
currituck_PP,355,226,nc_state_senate_district_01
currituck_PB,742,404,nc_state_senate_district_01
currituck_CH,671,319,nc_state_senate_district_01
currituck_GW,75,21,nc_state_senate_district_01
currituck_CJ,126,80,nc_state_senate_district_01
currituck_MY,1028,372,nc_state_senate_district_01
currituck_WH,147,92,nc_state_senate_district_01
currituck_ONESTOP,1059,732,nc_state_senate_district_01
currituck_KI,245,105,nc_state_senate_district_01
currituck_IR,222,126,nc_state_senate_district_01
dare_KTHK,732,558,nc_state_senate_district_01
dare_DUCK,115,138,nc_state_senate_district_01
dare_EL,13,15,nc_state_senate_district_01
dare_COL,741,568,nc_state_senate_district_01
dare_WAN,296,204,nc_state_senate_district_01
dare_SOSH,963,804,nc_state_senate_district_01
dare_AVON,183,110,nc_state_senate_district_01
dare_CURBSIDE,52,26,nc_state_senate_district_01
dare_HAT,135,92,nc_state_senate_district_01
dare_FRCO,202,142,nc_state_senate_district_01
dare_KDH,1037,862,nc_state_senate_district_01
dare_BUX,296,188,nc_state_senate_district_01
dare_NGHD,593,587,nc_state_senate_district_01
dare_STPT,46,40,nc_state_senate_district_01
dare_MATO,1044,1197,nc_state_senate_district_01
dare_CHCA,104,121,nc_state_senate_district_01
dare_MH,122,133,nc_state_senate_district_01
gates_4S,124,210,nc_state_senate_district_01
gates_4N,291,178,nc_state_senate_district_01
gates_3,235,320,nc_state_senate_district_01
gates_ONESTOP,277,519,nc_state_senate_district_01
gates_5,194,158,nc_state_senate_district_01
gates_1,188,233,nc_state_senate_district_01
gates_2,214,129,nc_state_senate_district_01
hyde_SLAD,106,65,nc_state_senate_district_01
hyde_LL,48,158,nc_state_senate_district_01
hyde_BM,92,29,nc_state_senate_district_01
hyde_ENG,97,181,nc_state_senate_district_01
hyde_FF,70,108,nc_state_senate_district_01
hyde_OCK,55,249,nc_state_senate_district_01
hyde_ONESTOP,98,176,nc_state_senate_district_01
hyde_SQ,87,107,nc_state_senate_district_01
pasquotank_ONESTOP,1995,2980,nc_state_senate_district_01
pasquotank_4-B,49,264,nc_state_senate_district_01
pasquotank_4-A,20,184,nc_state_senate_district_01
pasquotank_SAL,200,90,nc_state_senate_district_01
pasquotank_PRO,541,341,nc_state_senate_district_01
pasquotank_NIX,452,263,nc_state_senate_district_01
pasquotank_MH,396,368,nc_state_senate_district_01
pasquotank_3-A,55,149,nc_state_senate_district_01
pasquotank_2-B,41,117,nc_state_senate_district_01
pasquotank_2-A,89,138,nc_state_senate_district_01
pasquotank_1-A,68,125,nc_state_senate_district_01
pasquotank_1-B,103,154,nc_state_senate_district_01
pasquotank_3-B,12,195,nc_state_senate_district_01
pasquotank_NEW,203,291,nc_state_senate_district_01
perquimans_NICANO,57,35,nc_state_senate_district_01
perquimans_WEST H,165,162,nc_state_senate_district_01
perquimans_NEW HO,566,305,nc_state_senate_district_01
perquimans_BELVID,161,101,nc_state_senate_district_01
perquimans_ONESTOP,0,0,nc_state_senate_district_01
perquimans_EAST H,159,248,nc_state_senate_district_01
perquimans_BETHEL,874,450,nc_state_senate_district_01
perquimans_PARKVI,376,380,nc_state_senate_district_01
