prec_id,Angela R. Bryant,Richard Scott,election
halifax_RR 5,108,186,nc_state_senate_district_04
halifax_RR 8,157,157,nc_state_senate_district_04
halifax_ENF 2,389,45,nc_state_senate_district_04
halifax_WEL 1,238,52,nc_state_senate_district_04
halifax_HPR,242,179,nc_state_senate_district_04
halifax_WEL 2,110,77,nc_state_senate_district_04
halifax_CONC,97,30,nc_state_senate_district_04
halifax_RR 4,125,260,nc_state_senate_district_04
halifax_ENF1,580,120,nc_state_senate_district_04
halifax_RINGW,466,47,nc_state_senate_district_04
halifax_RR 7,197,65,nc_state_senate_district_04
halifax_RR1-2,138,242,nc_state_senate_district_04
halifax_RR 10,340,512,nc_state_senate_district_04
halifax_RR 3,136,243,nc_state_senate_district_04
halifax_RR 6,92,214,nc_state_senate_district_04
halifax_RR 9,451,171,nc_state_senate_district_04
halifax_BUTWD,73,69,nc_state_senate_district_04
halifax_FAUCT,178,216,nc_state_senate_district_04
halifax_HOL,675,55,nc_state_senate_district_04
halifax_HAL,216,79,nc_state_senate_district_04
halifax_ONESTOP,3835,1287,nc_state_senate_district_04
halifax_RR 11,259,487,nc_state_senate_district_04
halifax_LIT 1,395,116,nc_state_senate_district_04
halifax_LIT 2,207,400,nc_state_senate_district_04
halifax_SN,636,329,nc_state_senate_district_04
halifax_WEL 3,390,157,nc_state_senate_district_04
nash_0040A,602,505,nc_state_senate_district_04
nash_31,215,60,nc_state_senate_district_04
nash_33,410,48,nc_state_senate_district_04
nash_34,660,102,nc_state_senate_district_04
nash_38,451,247,nc_state_senate_district_04
nash_22,205,184,nc_state_senate_district_04
nash_35,277,661,nc_state_senate_district_04
nash_32,265,163,nc_state_senate_district_04
nash_ONESTOP,3880,2153,nc_state_senate_district_04
nash_36,313,416,nc_state_senate_district_04
nash_42,169,107,nc_state_senate_district_04
nash_7,355,153,nc_state_senate_district_04
nash_21,289,92,nc_state_senate_district_04
nash_2,194,165,nc_state_senate_district_04
vance_KITT,845,848,nc_state_senate_district_04
vance_EH1,797,63,nc_state_senate_district_04
vance_NH1,788,81,nc_state_senate_district_04
vance_NV,376,194,nc_state_senate_district_04
vance_SCRK,998,684,nc_state_senate_district_04
vance_NH,1013,636,nc_state_senate_district_04
vance_SH2,220,81,nc_state_senate_district_04
vance_MIDD,897,560,nc_state_senate_district_04
vance_SH1,652,164,nc_state_senate_district_04
vance_WH,975,964,nc_state_senate_district_04
vance_CC,562,708,nc_state_senate_district_04
vance_HTOP,267,107,nc_state_senate_district_04
warren_14,489,184,nc_state_senate_district_04
warren_11,127,45,nc_state_senate_district_04
warren_8,487,68,nc_state_senate_district_04
warren_9,170,93,nc_state_senate_district_04
warren_3,264,154,nc_state_senate_district_04
warren_2,184,245,nc_state_senate_district_04
warren_12,147,284,nc_state_senate_district_04
warren_7,282,93,nc_state_senate_district_04
warren_6,444,117,nc_state_senate_district_04
warren_1,222,324,nc_state_senate_district_04
warren_10,682,159,nc_state_senate_district_04
warren_13,160,114,nc_state_senate_district_04
warren_4,256,106,nc_state_senate_district_04
warren_5,501,131,nc_state_senate_district_04
wilson_PRWQ,269,6,nc_state_senate_district_04
wilson_PRWE,451,180,nc_state_senate_district_04
wilson_PRWR,578,47,nc_state_senate_district_04
wilson_CURBSIDE,176,18,nc_state_senate_district_04
wilson_PRWA,279,61,nc_state_senate_district_04
wilson_PRWC,612,66,nc_state_senate_district_04
wilson_PRWH,204,9,nc_state_senate_district_04
wilson_PRBL,3,4,nc_state_senate_district_04
wilson_PRWI,486,242,nc_state_senate_district_04
wilson_PRWN,976,62,nc_state_senate_district_04
wilson_PRTO,741,707,nc_state_senate_district_04
wilson_PRGA,276,29,nc_state_senate_district_04
wilson_PRWB,359,23,nc_state_senate_district_04
wilson_PRWD,5,11,nc_state_senate_district_04
