prec_id,Don Davis,election
greene_SHIN,235,nc_state_senate_district_05
greene_MAUR,363,nc_state_senate_district_05
greene_SH#1,193,nc_state_senate_district_05
greene_ABSENTEE,310,nc_state_senate_district_05
greene_BEAR,136,nc_state_senate_district_05
greene_HOOK,184,nc_state_senate_district_05
greene_WALS,255,nc_state_senate_district_05
greene_SUGG,192,nc_state_senate_district_05
greene_CAST,190,nc_state_senate_district_05
greene_BULL,182,nc_state_senate_district_05
greene_ARBA,184,nc_state_senate_district_05
lenoir_I,328,nc_state_senate_district_05
lenoir_K3,537,nc_state_senate_district_05
lenoir_K6,1085,nc_state_senate_district_05
lenoir_K8,581,nc_state_senate_district_05
lenoir_K2,488,nc_state_senate_district_05
lenoir_K5,698,nc_state_senate_district_05
lenoir_C,213,nc_state_senate_district_05
lenoir_MH,1356,nc_state_senate_district_05
lenoir_N,260,nc_state_senate_district_05
lenoir_K7,1001,nc_state_senate_district_05
lenoir_K1,454,nc_state_senate_district_05
lenoir_CURBSIDE,369,nc_state_senate_district_05
lenoir_ABSENTEE,164,nc_state_senate_district_05
lenoir_K9,1056,nc_state_senate_district_05
lenoir_K4,388,nc_state_senate_district_05
lenoir_V,885,nc_state_senate_district_05
pitt_ABSENTEE #2,94,nc_state_senate_district_05
pitt_OS WILLIS BUILDING #2,806,nc_state_senate_district_05
pitt_1201,378,nc_state_senate_district_05
pitt_OS AYDEN #2,12,nc_state_senate_district_05
pitt_1509,389,nc_state_senate_district_05
pitt_OS COMMUNITY SCHOOLS 2,740,nc_state_senate_district_05
pitt_1403B,190,nc_state_senate_district_05
pitt_1001,251,nc_state_senate_district_05
pitt_OS COMMUNITY SCHOOLS 1,1130,nc_state_senate_district_05
pitt_OS COUNTY OFFICE 1,4411,nc_state_senate_district_05
pitt_OS FARMVILLE 2,13,nc_state_senate_district_05
pitt_OS FARMVILLE 1,1471,nc_state_senate_district_05
pitt_ABSENTEE #1,399,nc_state_senate_district_05
pitt_1403A2,65,nc_state_senate_district_05
pitt_1102A,22,nc_state_senate_district_05
pitt_1101,64,nc_state_senate_district_05
pitt_OS COUNTY OFFICE 2,1881,nc_state_senate_district_05
pitt_OS WINTERVILLE #2,1321,nc_state_senate_district_05
pitt_OS AYDEN #1,795,nc_state_senate_district_05
pitt_1507,213,nc_state_senate_district_05
pitt_501,238,nc_state_senate_district_05
pitt_OS AG CENTER 2,529,nc_state_senate_district_05
pitt_1508A,21,nc_state_senate_district_05
pitt_0200B,250,nc_state_senate_district_05
pitt_401,514,nc_state_senate_district_05
pitt_OS ECU-WILLIS BLDG 1,702,nc_state_senate_district_05
pitt_OS AG CENTER 1,2900,nc_state_senate_district_05
pitt_OS WINTERVILLE #1,1829,nc_state_senate_district_05
pitt_1503,428,nc_state_senate_district_05
pitt_901,179,nc_state_senate_district_05
pitt_101,432,nc_state_senate_district_05
pitt_701,298,nc_state_senate_district_05
pitt_1501,142,nc_state_senate_district_05
pitt_1506,171,nc_state_senate_district_05
pitt_1512A,481,nc_state_senate_district_05
pitt_1512B,171,nc_state_senate_district_05
pitt_1505B,500,nc_state_senate_district_05
pitt_301,645,nc_state_senate_district_05
pitt_1504B,565,nc_state_senate_district_05
pitt_1504A,423,nc_state_senate_district_05
pitt_1505A,489,nc_state_senate_district_05
pitt_0800A,295,nc_state_senate_district_05
pitt_0200A,258,nc_state_senate_district_05
pitt_0800B,320,nc_state_senate_district_05
pitt_1403A1,60,nc_state_senate_district_05
wayne_7,187,nc_state_senate_district_05
wayne_27,253,nc_state_senate_district_05
wayne_20,314,nc_state_senate_district_05
wayne_25,17,nc_state_senate_district_05
wayne_28,120,nc_state_senate_district_05
wayne_29,238,nc_state_senate_district_05
wayne_22,52,nc_state_senate_district_05
wayne_11,195,nc_state_senate_district_05
wayne_16,104,nc_state_senate_district_05
wayne_19,225,nc_state_senate_district_05
wayne_14,1,nc_state_senate_district_05
wayne_18,202,nc_state_senate_district_05
wayne_21,165,nc_state_senate_district_05
wayne_13,203,nc_state_senate_district_05
wayne_10,244,nc_state_senate_district_05
wayne_15,1,nc_state_senate_district_05
wayne_12,299,nc_state_senate_district_05
wayne_17,235,nc_state_senate_district_05
wayne_ABSENTEE,298,nc_state_senate_district_05
wayne_30,193,nc_state_senate_district_05
wayne_9,2,nc_state_senate_district_05
wayne_6,92,nc_state_senate_district_05
wayne_26,287,nc_state_senate_district_05
