prec_id,"Louis M. Pate, Jr.",election
lenoir_I,551,nc_state_senate_district_07
lenoir_K3,94,nc_state_senate_district_07
lenoir_K5,53,nc_state_senate_district_07
lenoir_C,819,nc_state_senate_district_07
lenoir_MH,501,nc_state_senate_district_07
lenoir_N,1367,nc_state_senate_district_07
lenoir_CURBSIDE,93,nc_state_senate_district_07
lenoir_PH2,673,nc_state_senate_district_07
lenoir_T1,775,nc_state_senate_district_07
lenoir_ABSENTEE,234,nc_state_senate_district_07
lenoir_FC,2302,nc_state_senate_district_07
lenoir_W,716,nc_state_senate_district_07
lenoir_SW,585,nc_state_senate_district_07
lenoir_K4,885,nc_state_senate_district_07
lenoir_T2,550,nc_state_senate_district_07
lenoir_V,194,nc_state_senate_district_07
lenoir_SH,417,nc_state_senate_district_07
lenoir_PH1,393,nc_state_senate_district_07
pitt_1507B,436,nc_state_senate_district_07
pitt_1511A,545,nc_state_senate_district_07
pitt_1510B,393,nc_state_senate_district_07
pitt_ABSENTEE #2,288,nc_state_senate_district_07
pitt_OS WILLIS BUILDING #2,2573,nc_state_senate_district_07
pitt_1102B,659,nc_state_senate_district_07
pitt_1301,235,nc_state_senate_district_07
pitt_1201,220,nc_state_senate_district_07
pitt_OS AYDEN #2,19,nc_state_senate_district_07
pitt_1509,424,nc_state_senate_district_07
pitt_OS COMMUNITY SCHOOLS 2,4220,nc_state_senate_district_07
pitt_1403B,322,nc_state_senate_district_07
pitt_1001,345,nc_state_senate_district_07
pitt_OS COMMUNITY SCHOOLS 1,5519,nc_state_senate_district_07
pitt_OS COUNTY OFFICE 1,422,nc_state_senate_district_07
pitt_OS FARMVILLE 2,24,nc_state_senate_district_07
pitt_OS FARMVILLE 1,59,nc_state_senate_district_07
pitt_ABSENTEE #1,281,nc_state_senate_district_07
pitt_1403A2,211,nc_state_senate_district_07
pitt_1508B,349,nc_state_senate_district_07
pitt_1102A,424,nc_state_senate_district_07
pitt_1101,241,nc_state_senate_district_07
pitt_OS COUNTY OFFICE 2,523,nc_state_senate_district_07
pitt_OS WINTERVILLE #2,1912,nc_state_senate_district_07
pitt_OS AYDEN #1,374,nc_state_senate_district_07
pitt_1507,451,nc_state_senate_district_07
pitt_OS AG CENTER 2,440,nc_state_senate_district_07
pitt_1511B,491,nc_state_senate_district_07
pitt_1508A,250,nc_state_senate_district_07
pitt_0200B,70,nc_state_senate_district_07
pitt_OS ECU-WILLIS BLDG 1,617,nc_state_senate_district_07
pitt_OS AG CENTER 1,877,nc_state_senate_district_07
pitt_601,545,nc_state_senate_district_07
pitt_1510A,440,nc_state_senate_district_07
pitt_1513B,331,nc_state_senate_district_07
pitt_1513A,404,nc_state_senate_district_07
pitt_OS WINTERVILLE #1,2592,nc_state_senate_district_07
pitt_101,124,nc_state_senate_district_07
pitt_1506,156,nc_state_senate_district_07
pitt_1512A,156,nc_state_senate_district_07
pitt_1512B,246,nc_state_senate_district_07
pitt_0200A,61,nc_state_senate_district_07
pitt_0800B,11,nc_state_senate_district_07
pitt_1403A1,277,nc_state_senate_district_07
wayne_7,332,nc_state_senate_district_07
wayne_1,295,nc_state_senate_district_07
wayne_4,569,nc_state_senate_district_07
wayne_25,259,nc_state_senate_district_07
wayne_28,404,nc_state_senate_district_07
wayne_22,157,nc_state_senate_district_07
wayne_2,508,nc_state_senate_district_07
wayne_8,480,nc_state_senate_district_07
wayne_5,391,nc_state_senate_district_07
wayne_11,64,nc_state_senate_district_07
wayne_16,264,nc_state_senate_district_07
wayne_19,18,nc_state_senate_district_07
wayne_14,305,nc_state_senate_district_07
wayne_21,69,nc_state_senate_district_07
wayne_10,21,nc_state_senate_district_07
wayne_15,494,nc_state_senate_district_07
wayne_17,5,nc_state_senate_district_07
wayne_ABSENTEE,668,nc_state_senate_district_07
wayne_30,6,nc_state_senate_district_07
wayne_24,701,nc_state_senate_district_07
wayne_9,320,nc_state_senate_district_07
wayne_6,106,nc_state_senate_district_07
wayne_26,68,nc_state_senate_district_07
wayne_23,269,nc_state_senate_district_07
wayne_3,481,nc_state_senate_district_07
