prec_id,Buck Newton,election
johnston_PR36,355,nc_state_senate_district_11
johnston_PR28,584,nc_state_senate_district_11
johnston_PR30,736,nc_state_senate_district_11
johnston_PR19,365,nc_state_senate_district_11
johnston_PR11A,283,nc_state_senate_district_11
johnston_PR09,1303,nc_state_senate_district_11
johnston_PR26,175,nc_state_senate_district_11
johnston_PR12A,303,nc_state_senate_district_11
johnston_PR11B,1270,nc_state_senate_district_11
johnston_PR22,45,nc_state_senate_district_11
johnston_PR34,687,nc_state_senate_district_11
johnston_PR27B,398,nc_state_senate_district_11
johnston_PR21,910,nc_state_senate_district_11
johnston_PR24,396,nc_state_senate_district_11
johnston_PR29A,1618,nc_state_senate_district_11
johnston_PR32,893,nc_state_senate_district_11
johnston_PR27A,497,nc_state_senate_district_11
johnston_PR10A,643,nc_state_senate_district_11
johnston_PR29B,2111,nc_state_senate_district_11
johnston_PR25,509,nc_state_senate_district_11
johnston_PR20,874,nc_state_senate_district_11
johnston_PR10B,723,nc_state_senate_district_11
nash_34,0,nc_state_senate_district_11
nash_ONESTOP,6239,nc_state_senate_district_11
nash_37,528,nc_state_senate_district_11
nash_25,703,nc_state_senate_district_11
nash_11,413,nc_state_senate_district_11
nash_6,502,nc_state_senate_district_11
nash_3,274,nc_state_senate_district_11
nash_8,422,nc_state_senate_district_11
nash_5,535,nc_state_senate_district_11
nash_39,609,nc_state_senate_district_11
nash_26,788,nc_state_senate_district_11
nash_4,785,nc_state_senate_district_11
nash_1,766,nc_state_senate_district_11
nash_15,946,nc_state_senate_district_11
nash_41,338,nc_state_senate_district_11
nash_12,258,nc_state_senate_district_11
wilson_PRWE,1,nc_state_senate_district_11
wilson_CURBSIDE,76,nc_state_senate_district_11
wilson_PRWA,0,nc_state_senate_district_11
wilson_PRWH,15,nc_state_senate_district_11
wilson_PRBL,916,nc_state_senate_district_11
wilson_PRWN,0,nc_state_senate_district_11
wilson_PRTO,160,nc_state_senate_district_11
wilson_PRGA,521,nc_state_senate_district_11
wilson_PRWD,692,nc_state_senate_district_11
wilson_PRWL,861,nc_state_senate_district_11
wilson_PRWJ,908,nc_state_senate_district_11
wilson_PRST,315,nc_state_senate_district_11
wilson_PRSP,687,nc_state_senate_district_11
wilson_PRSA,269,nc_state_senate_district_11
wilson_PRCR,769,nc_state_senate_district_11
wilson_PROL,1361,nc_state_senate_district_11
wilson_PRWP,730,nc_state_senate_district_11
wilson_PRWK,715,nc_state_senate_district_11
wilson_PRWM,1235,nc_state_senate_district_11
wilson_PRTA,1835,nc_state_senate_district_11
