prec_id,Ronald Rabin,Susan Byerly,election
lee_C2,311,210,nc_state_senate_district_12
lee_E2,236,259,nc_state_senate_district_12
lee_OS-PAPER,8916,8100,nc_state_senate_district_12
lee_B1,406,163,nc_state_senate_district_12
lee_D1,452,222,nc_state_senate_district_12
lee_D2,435,241,nc_state_senate_district_12
lee_B2,223,220,nc_state_senate_district_12
lee_A2,206,553,nc_state_senate_district_12
lee_A1,310,395,nc_state_senate_district_12
lee_C1,418,311,nc_state_senate_district_12
lee_ABSENTEE,336,303,nc_state_senate_district_12
lee_E1,384,237,nc_state_senate_district_12
harnett_OS ANDERSON,1172,820,nc_state_senate_district_12
harnett_OS ANGIER,1397,832,nc_state_senate_district_12
harnett_PR32,535,362,nc_state_senate_district_12
harnett_PR29,661,625,nc_state_senate_district_12
harnett_PR26,630,481,nc_state_senate_district_12
harnett_PR01,881,556,nc_state_senate_district_12
harnett_OS ERWIN,1734,1548,nc_state_senate_district_12
harnett_OS LOBBY,8358,6948,nc_state_senate_district_12
harnett_PR24,1118,512,nc_state_senate_district_12
harnett_PR28,1276,421,nc_state_senate_district_12
harnett_ABSENTEE,1058,570,nc_state_senate_district_12
harnett_PR31,173,235,nc_state_senate_district_12
harnett_PR20,336,479,nc_state_senate_district_12
harnett_PR08,752,520,nc_state_senate_district_12
harnett_OS WESTERN,2194,1683,nc_state_senate_district_12
harnett_PR16,891,540,nc_state_senate_district_12
harnett_PR07,1120,696,nc_state_senate_district_12
harnett_PR25,568,677,nc_state_senate_district_12
harnett_PR23,606,482,nc_state_senate_district_12
johnston_PR23A,352,121,nc_state_senate_district_12
johnston_PR35,313,199,nc_state_senate_district_12
johnston_PR23B,802,304,nc_state_senate_district_12
johnston_PR13,29,2,nc_state_senate_district_12
johnston_PR33,888,303,nc_state_senate_district_12
johnston_PR14,232,61,nc_state_senate_district_12
johnston_PR31B,238,73,nc_state_senate_district_12
