prec_id,Bernard White,Jane W. Smith,election
columbus_P13,129,81,nc_state_senate_district_13
columbus_P12,63,30,nc_state_senate_district_13
columbus_ONESTOP,1744,3177,nc_state_senate_district_13
columbus_P02B,62,216,nc_state_senate_district_13
columbus_P04,58,59,nc_state_senate_district_13
columbus_P16B,285,259,nc_state_senate_district_13
columbus_P21,164,144,nc_state_senate_district_13
columbus_P23,186,235,nc_state_senate_district_13
columbus_P18,63,107,nc_state_senate_district_13
columbus_P19,253,268,nc_state_senate_district_13
columbus_P20A,42,114,nc_state_senate_district_13
columbus_P05,65,67,nc_state_senate_district_13
columbus_P24,353,171,nc_state_senate_district_13
columbus_P07,248,362,nc_state_senate_district_13
columbus_P14,392,397,nc_state_senate_district_13
columbus_P15,247,310,nc_state_senate_district_13
columbus_P22A,262,224,nc_state_senate_district_13
columbus_P03,98,69,nc_state_senate_district_13
columbus_P06,160,121,nc_state_senate_district_13
columbus_P09,135,222,nc_state_senate_district_13
columbus_P17,86,248,nc_state_senate_district_13
columbus_P25B,272,117,nc_state_senate_district_13
columbus_P08,82,53,nc_state_senate_district_13
columbus_P01A,217,243,nc_state_senate_district_13
columbus_P26B,376,373,nc_state_senate_district_13
columbus_P10,181,76,nc_state_senate_district_13
columbus_P11,176,109,nc_state_senate_district_13
robeson_15,27,190,nc_state_senate_district_13
robeson_41,381,410,nc_state_senate_district_13
robeson_25,109,227,nc_state_senate_district_13
robeson_28,113,147,nc_state_senate_district_13
robeson_4,150,324,nc_state_senate_district_13
robeson_7,46,195,nc_state_senate_district_13
robeson_05A,173,693,nc_state_senate_district_13
robeson_1,79,159,nc_state_senate_district_13
robeson_16,5,237,nc_state_senate_district_13
robeson_20,130,250,nc_state_senate_district_13
robeson_38,50,83,nc_state_senate_district_13
robeson_39,115,268,nc_state_senate_district_13
robeson_14,96,153,nc_state_senate_district_13
robeson_19,145,731,nc_state_senate_district_13
robeson_34,122,173,nc_state_senate_district_13
robeson_35,187,339,nc_state_senate_district_13
robeson_22,186,369,nc_state_senate_district_13
robeson_8,272,211,nc_state_senate_district_13
robeson_29,114,419,nc_state_senate_district_13
robeson_ONESTOP,1294,4135,nc_state_senate_district_13
robeson_11,581,739,nc_state_senate_district_13
robeson_36,109,188,nc_state_senate_district_13
robeson_12,116,265,nc_state_senate_district_13
robeson_17,26,88,nc_state_senate_district_13
robeson_9,139,217,nc_state_senate_district_13
robeson_10,165,185,nc_state_senate_district_13
robeson_40,64,128,nc_state_senate_district_13
robeson_32A,625,649,nc_state_senate_district_13
robeson_18A,192,299,nc_state_senate_district_13
robeson_23,240,433,nc_state_senate_district_13
robeson_24,71,141,nc_state_senate_district_13
robeson_3,245,216,nc_state_senate_district_13
robeson_33,52,88,nc_state_senate_district_13
robeson_30,165,345,nc_state_senate_district_13
robeson_11A,103,219,nc_state_senate_district_13
robeson_13,154,286,nc_state_senate_district_13
robeson_26A,236,788,nc_state_senate_district_13
robeson_2,78,360,nc_state_senate_district_13
robeson_21,325,374,nc_state_senate_district_13
robeson_37,129,87,nc_state_senate_district_13
