prec_id,Danny Earl (J. R.) Britt,Jane W. Smith,election
columbus_P10,311,48,nc_state_senate_district_13
columbus_P03,196,46,nc_state_senate_district_13
columbus_OS LOBBY,4549,3371,nc_state_senate_district_13
columbus_P06,254,90,nc_state_senate_district_13
columbus_OS FAIR BLUFF,139,116,nc_state_senate_district_13
columbus_P02B,101,154,nc_state_senate_district_13
columbus_P17,139,189,nc_state_senate_district_13
columbus_ABSENTEE,229,236,nc_state_senate_district_13
columbus_P21,236,68,nc_state_senate_district_13
columbus_P14,425,260,nc_state_senate_district_13
columbus_P15,371,226,nc_state_senate_district_13
columbus_P09,161,203,nc_state_senate_district_13
columbus_P23,246,150,nc_state_senate_district_13
columbus_P22A,435,144,nc_state_senate_district_13
columbus_P04,91,57,nc_state_senate_district_13
columbus_P16B,348,146,nc_state_senate_district_13
columbus_OS BOLTON,177,246,nc_state_senate_district_13
columbus_P11,253,51,nc_state_senate_district_13
columbus_P08,158,14,nc_state_senate_district_13
columbus_OS TABOR CITY,762,462,nc_state_senate_district_13
columbus_OS CHADBOURN,350,346,nc_state_senate_district_13
columbus_P25B,431,59,nc_state_senate_district_13
columbus_P26B,433,407,nc_state_senate_district_13
columbus_P18,106,54,nc_state_senate_district_13
columbus_P19,255,215,nc_state_senate_district_13
columbus_OS EAST COLUMBUS,665,706,nc_state_senate_district_13
columbus_P01A,318,199,nc_state_senate_district_13
columbus_P24,560,100,nc_state_senate_district_13
columbus_P12,104,31,nc_state_senate_district_13
columbus_P13,229,58,nc_state_senate_district_13
columbus_P05,136,48,nc_state_senate_district_13
columbus_P07,326,400,nc_state_senate_district_13
columbus_P20A,84,116,nc_state_senate_district_13
robeson_11,819,313,nc_state_senate_district_13
robeson_8,494,108,nc_state_senate_district_13
robeson_29,247,420,nc_state_senate_district_13
robeson_OS PEMBROKE,1081,1068,nc_state_senate_district_13
robeson_OS FAIRMONT,428,615,nc_state_senate_district_13
robeson_2,280,314,nc_state_senate_district_13
robeson_22,392,377,nc_state_senate_district_13
robeson_34,279,176,nc_state_senate_district_13
robeson_35,525,211,nc_state_senate_district_13
robeson_14,168,124,nc_state_senate_district_13
robeson_19,254,580,nc_state_senate_district_13
robeson_OS MAXTON,353,711,nc_state_senate_district_13
robeson_OS ST PAULS,802,681,nc_state_senate_district_13
robeson_OS RED SPRINGS,370,906,nc_state_senate_district_13
robeson_39,268,280,nc_state_senate_district_13
robeson_38,110,51,nc_state_senate_district_13
robeson_20,285,161,nc_state_senate_district_13
robeson_16,37,216,nc_state_senate_district_13
robeson_1,210,128,nc_state_senate_district_13
robeson_11A,300,146,nc_state_senate_district_13
robeson_4,495,256,nc_state_senate_district_13
robeson_7,147,196,nc_state_senate_district_13
robeson_25,238,177,nc_state_senate_district_13
robeson_28,239,155,nc_state_senate_district_13
robeson_41,829,208,nc_state_senate_district_13
robeson_17,72,92,nc_state_senate_district_13
robeson_36,205,142,nc_state_senate_district_13
robeson_ABSENTEE,329,291,nc_state_senate_district_13
robeson_12,163,243,nc_state_senate_district_13
robeson_15,45,232,nc_state_senate_district_13
robeson_3,483,115,nc_state_senate_district_13
robeson_23,441,348,nc_state_senate_district_13
robeson_24,180,104,nc_state_senate_district_13
robeson_40,113,104,nc_state_senate_district_13
robeson_32A,587,489,nc_state_senate_district_13
robeson_37,266,38,nc_state_senate_district_13
robeson_21,462,334,nc_state_senate_district_13
robeson_18A,337,164,nc_state_senate_district_13
robeson_05A,450,506,nc_state_senate_district_13
robeson_30,437,296,nc_state_senate_district_13
robeson_33,105,105,nc_state_senate_district_13
robeson_13,294,165,nc_state_senate_district_13
robeson_26A,264,533,nc_state_senate_district_13
robeson_10,231,205,nc_state_senate_district_13
robeson_9,273,183,nc_state_senate_district_13
robeson_OS LUMBERTON BOE,4735,5200,nc_state_senate_district_13
