prec_id,Josh Stein,Molotov Mitchell,election
wake_43853,856,384,nc_state_senate_district_16
wake_43858,73,48,nc_state_senate_district_16
wake_43844,972,205,nc_state_senate_district_16
wake_18-01,848,355,nc_state_senate_district_16
wake_ONESTOP,11466,4002,nc_state_senate_district_16
wake_43851,814,331,nc_state_senate_district_16
wake_43857,237,38,nc_state_senate_district_16
wake_13881,459,260,nc_state_senate_district_16
wake_43843,495,123,nc_state_senate_district_16
wake_44014,346,254,nc_state_senate_district_16
wake_17533,716,229,nc_state_senate_district_16
wake_43932,321,148,nc_state_senate_district_16
wake_43954,508,558,nc_state_senate_district_16
wake_43959,495,259,nc_state_senate_district_16
wake_43956,1203,862,nc_state_senate_district_16
wake_43935,401,356,nc_state_senate_district_16
wake_43938,419,275,nc_state_senate_district_16
wake_43923,604,428,nc_state_senate_district_16
wake_01-07A,125,10,nc_state_senate_district_16
wake_43922,537,345,nc_state_senate_district_16
wake_43941,578,382,nc_state_senate_district_16
wake_44049,391,149,nc_state_senate_district_16
wake_43831,576,186,nc_state_senate_district_16
wake_43837,547,147,nc_state_senate_district_16
wake_44022,890,563,nc_state_senate_district_16
wake_43958,1383,728,nc_state_senate_district_16
wake_43934,830,673,nc_state_senate_district_16
wake_17899,583,222,nc_state_senate_district_16
wake_43929,574,327,nc_state_senate_district_16
wake_11689,588,265,nc_state_senate_district_16
wake_12055,518,234,nc_state_senate_district_16
wake_43832,622,231,nc_state_senate_district_16
wake_44013,427,277,nc_state_senate_district_16
wake_43926,785,487,nc_state_senate_district_16
wake_14977,527,185,nc_state_senate_district_16
wake_43940,416,387,nc_state_senate_district_16
wake_43939,585,377,nc_state_senate_district_16
wake_43952,732,619,nc_state_senate_district_16
wake_43924,413,285,nc_state_senate_district_16
wake_43925,342,246,nc_state_senate_district_16
wake_43861,731,212,nc_state_senate_district_16
wake_44136,828,480,nc_state_senate_district_16
wake_44137,921,601,nc_state_senate_district_16
wake_43836,713,264,nc_state_senate_district_16
wake_18-06,682,314,nc_state_senate_district_16
wake_43846,717,341,nc_state_senate_district_16
wake_44024,597,340,nc_state_senate_district_16
wake_43942,333,135,nc_state_senate_district_16
wake_43937,505,383,nc_state_senate_district_16
wake_43839,481,151,nc_state_senate_district_16
