prec_id,Chad Barefoot,Gil Johnson,election
franklin_13,901,418,nc_state_senate_district_18
franklin_18,1270,667,nc_state_senate_district_18
franklin_16,564,888,nc_state_senate_district_18
franklin_14,1879,1064,nc_state_senate_district_18
franklin_19,2106,1306,nc_state_senate_district_18
franklin_11,452,696,nc_state_senate_district_18
franklin_8,1113,801,nc_state_senate_district_18
franklin_5,955,549,nc_state_senate_district_18
franklin_2,388,603,nc_state_senate_district_18
franklin_15,615,1349,nc_state_senate_district_18
franklin_1,414,900,nc_state_senate_district_18
franklin_7,895,307,nc_state_senate_district_18
franklin_10,453,263,nc_state_senate_district_18
franklin_9,671,426,nc_state_senate_district_18
franklin_6,520,638,nc_state_senate_district_18
franklin_3,1146,1084,nc_state_senate_district_18
franklin_17,1583,819,nc_state_senate_district_18
franklin_12,486,423,nc_state_senate_district_18
wake_44170,58,64,nc_state_senate_district_18
wake_OSLOB 41-80,122,249,nc_state_senate_district_18
wake_OSNB 1-40,3043,2091,nc_state_senate_district_18
wake_ABSEN 41-80,393,272,nc_state_senate_district_18
wake_19-04,1116,617,nc_state_senate_district_18
wake_OSWD 41-80,162,100,nc_state_senate_district_18
wake_OSWA 41-80,1171,951,nc_state_senate_district_18
wake_OSGR 81-91,0,0,nc_state_senate_district_18
wake_OSAV 81-91,10,2,nc_state_senate_district_18
wake_OSNR 1-40,2357,2778,nc_state_senate_district_18
wake_16-03,182,159,nc_state_senate_district_18
wake_16-08,67,31,nc_state_senate_district_18
wake_16-05,414,318,nc_state_senate_district_18
wake_17-04,266,224,nc_state_senate_district_18
wake_44107,298,248,nc_state_senate_district_18
wake_18-07,107,62,nc_state_senate_district_18
wake_OSCA 81-91,0,0,nc_state_senate_district_18
wake_OSLL 81-91,1,0,nc_state_senate_district_18
wake_PROVI 1-40,195,148,nc_state_senate_district_18
wake_OSNR 81-91,0,0,nc_state_senate_district_18
wake_OSTC 1-40,32,39,nc_state_senate_district_18
wake_TRANS 1-40,0,0,nc_state_senate_district_18
wake_44106,269,156,nc_state_senate_district_18
wake_OSAB 41-80,204,320,nc_state_senate_district_18
wake_17-06,402,265,nc_state_senate_district_18
wake_44169,1056,382,nc_state_senate_district_18
wake_PROVI 41-80,43,41,nc_state_senate_district_18
wake_OSCH 1-40,59,701,nc_state_senate_district_18
wake_OSGR 41-80,190,386,nc_state_senate_district_18
wake_ABSEN 81-91,1,1,nc_state_senate_district_18
wake_OSAP 81-91,0,0,nc_state_senate_district_18
wake_18-04,86,73,nc_state_senate_district_18
wake_19-07,512,366,nc_state_senate_district_18
wake_15-02,1055,582,nc_state_senate_district_18
wake_44172,534,275,nc_state_senate_district_18
wake_OSOP 41-80,33,71,nc_state_senate_district_18
