prec_id,Ben Clark,election
cumberland_G3B,62,nc_state_senate_district_21
cumberland_G2C-2,137,nc_state_senate_district_21
cumberland_MR02,337,nc_state_senate_district_21
cumberland_CC03,215,nc_state_senate_district_21
cumberland_G5C,306,nc_state_senate_district_21
cumberland_EO61-1,238,nc_state_senate_district_21
cumberland_G11A-2,575,nc_state_senate_district_21
cumberland_CC14,80,nc_state_senate_district_21
cumberland_ONESTOP,772,nc_state_senate_district_21
cumberland_CC33,351,nc_state_senate_district_21
cumberland_G5A-1,601,nc_state_senate_district_21
cumberland_G2E-1,522,nc_state_senate_district_21
cumberland_G10C,16,nc_state_senate_district_21
cumberland_CC31,227,nc_state_senate_district_21
cumberland_CC15,94,nc_state_senate_district_21
cumberland_G3C,47,nc_state_senate_district_21
cumberland_CC18,80,nc_state_senate_district_21
cumberland_G8C,248,nc_state_senate_district_21
cumberland_CC21,901,nc_state_senate_district_21
cumberland_CC27,552,nc_state_senate_district_21
cumberland_G8A,555,nc_state_senate_district_21
cumberland_G2C-1,234,nc_state_senate_district_21
cumberland_CC04,2,nc_state_senate_district_21
cumberland_G9B-2,96,nc_state_senate_district_21
cumberland_CC25,11,nc_state_senate_district_21
cumberland_CC26,705,nc_state_senate_district_21
cumberland_G2B,476,nc_state_senate_district_21
cumberland_G4C,195,nc_state_senate_district_21
cumberland_G2D,398,nc_state_senate_district_21
cumberland_CC32,377,nc_state_senate_district_21
cumberland_AH49,701,nc_state_senate_district_21
cumberland_CC10,121,nc_state_senate_district_21
cumberland_G8B,16,nc_state_senate_district_21
cumberland_G8D,1,nc_state_senate_district_21
cumberland_LI65,108,nc_state_senate_district_21
cumberland_G11A-1,428,nc_state_senate_district_21
cumberland_G3A-1,409,nc_state_senate_district_21
cumberland_G3A-2,249,nc_state_senate_district_21
cumberland_G1A,424,nc_state_senate_district_21
cumberland_G11B,67,nc_state_senate_district_21
cumberland_CC29,562,nc_state_senate_district_21
cumberland_G2A,1068,nc_state_senate_district_21
cumberland_G2E-2,759,nc_state_senate_district_21
cumberland_G4A,86,nc_state_senate_district_21
cumberland_G4B,139,nc_state_senate_district_21
cumberland_CC08,87,nc_state_senate_district_21
cumberland_EO61-2,94,nc_state_senate_district_21
cumberland_G10A,67,nc_state_senate_district_21
cumberland_CC06,35,nc_state_senate_district_21
cumberland_CC01,600,nc_state_senate_district_21
cumberland_G5A-2,256,nc_state_senate_district_21
cumberland_G7B,13,nc_state_senate_district_21
cumberland_CU02,92,nc_state_senate_district_21
cumberland_CL57-2,849,nc_state_senate_district_21
cumberland_G5B-2,718,nc_state_senate_district_21
cumberland_CC05,634,nc_state_senate_district_21
cumberland_CC16,831,nc_state_senate_district_21
cumberland_CC13,472,nc_state_senate_district_21
cumberland_LR63,1124,nc_state_senate_district_21
cumberland_CC19,275,nc_state_senate_district_21
cumberland_CC17,835,nc_state_senate_district_21
cumberland_G5B-1,930,nc_state_senate_district_21
cumberland_MB62,633,nc_state_senate_district_21
cumberland_CL57-1,841,nc_state_senate_district_21
hoke_14,763,nc_state_senate_district_21
hoke_06B,867,nc_state_senate_district_21
hoke_2,548,nc_state_senate_district_21
hoke_5,432,nc_state_senate_district_21
hoke_64,582,nc_state_senate_district_21
hoke_65,368,nc_state_senate_district_21
hoke_13,325,nc_state_senate_district_21
hoke_61,563,nc_state_senate_district_21
hoke_1,104,nc_state_senate_district_21
hoke_4,249,nc_state_senate_district_21
hoke_62,267,nc_state_senate_district_21
hoke_63,854,nc_state_senate_district_21
hoke_15,444,nc_state_senate_district_21
hoke_12,730,nc_state_senate_district_21
hoke_3,265,nc_state_senate_district_21
