prec_id,Mike Woodard,T. Greg Doucette,election
caswell_STON,568,846,nc_state_senate_district_22
caswell_YANC,858,539,nc_state_senate_district_22
caswell_ANDE,195,348,nc_state_senate_district_22
caswell_MILT,906,451,nc_state_senate_district_22
caswell_LOCU,812,488,nc_state_senate_district_22
caswell_PH,502,720,nc_state_senate_district_22
caswell_CURBSIDE,163,55,nc_state_senate_district_22
caswell_LEAS,241,211,nc_state_senate_district_22
caswell_PELH,712,1183,nc_state_senate_district_22
caswell_PROVI,236,303,nc_state_senate_district_22
caswell_ABSENTEE,84,169,nc_state_senate_district_22
durham_37,362,364,nc_state_senate_district_22
durham_35.3,405,270,nc_state_senate_district_22
durham_21,20,4,nc_state_senate_district_22
durham_30-1,210,154,nc_state_senate_district_22
durham_2,198,62,nc_state_senate_district_22
durham_5,300,106,nc_state_senate_district_22
durham_OS-FRONT,1052,569,nc_state_senate_district_22
durham_44,219,221,nc_state_senate_district_22
durham_29,33,74,nc_state_senate_district_22
durham_48,195,106,nc_state_senate_district_22
durham_OS-ERL,3366,2521,nc_state_senate_district_22
durham_8,49,18,nc_state_senate_district_22
durham_OS-NRL,7342,5294,nc_state_senate_district_22
durham_53-1,263,196,nc_state_senate_district_22
durham_54,56,34,nc_state_senate_district_22
durham_16,257,154,nc_state_senate_district_22
durham_OS-BOE,6688,904,nc_state_senate_district_22
durham_OS-DTC,487,115,nc_state_senate_district_22
durham_ABSENTEE,2702,1153,nc_state_senate_district_22
durham_39,273,273,nc_state_senate_district_22
durham_38,341,184,nc_state_senate_district_22
durham_1,106,21,nc_state_senate_district_22
durham_20,237,39,nc_state_senate_district_22
durham_34-2,50,38,nc_state_senate_district_22
durham_43,401,304,nc_state_senate_district_22
durham_OS-NJBC,249,63,nc_state_senate_district_22
durham_OS-DTCN,540,532,nc_state_senate_district_22
durham_46,45,17,nc_state_senate_district_22
durham_4,291,85,nc_state_senate_district_22
durham_7,196,44,nc_state_senate_district_22
durham_25,172,209,nc_state_senate_district_22
durham_OS-IVY,1285,305,nc_state_senate_district_22
durham_OS-ENO,11779,3277,nc_state_senate_district_22
durham_45,296,301,nc_state_senate_district_22
durham_6,220,34,nc_state_senate_district_22
durham_3,259,74,nc_state_senate_district_22
durham_40,142,37,nc_state_senate_district_22
durham_24,233,243,nc_state_senate_district_22
durham_9,179,77,nc_state_senate_district_22
durham_33,411,288,nc_state_senate_district_22
durham_OS-DUKE,5113,1029,nc_state_senate_district_22
durham_OS-SRL,9189,2493,nc_state_senate_district_22
durham_50,453,256,nc_state_senate_district_22
durham_31,319,254,nc_state_senate_district_22
durham_30-2,19,17,nc_state_senate_district_22
durham_OS-NCCU,591,64,nc_state_senate_district_22
durham_17,3,0,nc_state_senate_district_22
durham_36,394,101,nc_state_senate_district_22
durham_OS-GETG,164,33,nc_state_senate_district_22
durham_26,168,266,nc_state_senate_district_22
durham_28,241,521,nc_state_senate_district_22
durham_27,272,214,nc_state_senate_district_22
durham_51,467,241,nc_state_senate_district_22
durham_32,121,242,nc_state_senate_district_22
durham_53-2,417,313,nc_state_senate_district_22
person_OLHI,463,677,nc_state_senate_district_22
person_WDSD,424,293,nc_state_senate_district_22
person_HLWY,295,422,nc_state_senate_district_22
person_CUCL,574,654,nc_state_senate_district_22
person_ALVI,822,612,nc_state_senate_district_22
person_ROX4,711,392,nc_state_senate_district_22
person_PNTH,1627,901,nc_state_senate_district_22
person_RCTL,1717,1085,nc_state_senate_district_22
person_SWST,637,727,nc_state_senate_district_22
person_FLRI,1345,2161,nc_state_senate_district_22
person_MTTZ,682,1048,nc_state_senate_district_22
