prec_id,Rick Gunn,election
alamance_03S,1648,nc_state_senate_district_24
alamance_64,1388,nc_state_senate_district_24
alamance_03N,1018,nc_state_senate_district_24
alamance_12S,173,nc_state_senate_district_24
alamance_09S,1223,nc_state_senate_district_24
alamance_35,1053,nc_state_senate_district_24
alamance_4,1425,nc_state_senate_district_24
alamance_7,1099,nc_state_senate_district_24
alamance_1,1166,nc_state_senate_district_24
alamance_03C,1079,nc_state_senate_district_24
alamance_09N,610,nc_state_senate_district_24
alamance_12W,576,nc_state_senate_district_24
alamance_03N2,262,nc_state_senate_district_24
alamance_11,699,nc_state_senate_district_24
alamance_128,307,nc_state_senate_district_24
alamance_5,959,nc_state_senate_district_24
alamance_2,1350,nc_state_senate_district_24
alamance_103,876,nc_state_senate_district_24
alamance_1210,483,nc_state_senate_district_24
alamance_125,677,nc_state_senate_district_24
alamance_127,566,nc_state_senate_district_24
alamance_ONESTOP,0,nc_state_senate_district_24
alamance_10S,1665,nc_state_senate_district_24
alamance_63,503,nc_state_senate_district_24
alamance_13,772,nc_state_senate_district_24
alamance_06N,356,nc_state_senate_district_24
alamance_06S,848,nc_state_senate_district_24
alamance_06W,243,nc_state_senate_district_24
alamance_10N,1151,nc_state_senate_district_24
alamance_08N,816,nc_state_senate_district_24
alamance_08S,504,nc_state_senate_district_24
alamance_126,790,nc_state_senate_district_24
alamance_124,611,nc_state_senate_district_24
alamance_129,616,nc_state_senate_district_24
alamance_12N,377,nc_state_senate_district_24
alamance_06E,566,nc_state_senate_district_24
alamance_12E,258,nc_state_senate_district_24
alamance_03W,869,nc_state_senate_district_24
randolph_ST,733,nc_state_senate_district_24
randolph_SE,746,nc_state_senate_district_24
randolph_SO,319,nc_state_senate_district_24
randolph_GR,1192,nc_state_senate_district_24
randolph_PR,1884,nc_state_senate_district_24
randolph_LB,804,nc_state_senate_district_24
randolph_DR,1314,nc_state_senate_district_24
randolph_RM,880,nc_state_senate_district_24
