prec_id,Jerry W. Tillman,Tommy Davis,election
moore_RBN,272,82,nc_state_senate_district_29
moore_VSS,391,174,nc_state_senate_district_29
moore_WND,383,188,nc_state_senate_district_29
moore_PHB1,716,275,nc_state_senate_district_29
moore_PHA1,735,272,nc_state_senate_district_29
moore_PHA2,559,148,nc_state_senate_district_29
moore_WAB,630,504,nc_state_senate_district_29
moore_PDN,839,403,nc_state_senate_district_29
moore_EKWD,272,104,nc_state_senate_district_29
moore_NSP,461,332,nc_state_senate_district_29
moore_WKWD,510,190,nc_state_senate_district_29
moore_EAB,457,352,nc_state_senate_district_29
moore_PBF,461,334,nc_state_senate_district_29
moore_BEN,448,172,nc_state_senate_district_29
moore_EUR,1105,282,nc_state_senate_district_29
moore_EWD,316,165,nc_state_senate_district_29
moore_LTR,596,212,nc_state_senate_district_29
moore_WEM,621,146,nc_state_senate_district_29
moore_SSP,415,615,nc_state_senate_district_29
moore_DHR,429,116,nc_state_senate_district_29
moore_PHC,1139,440,nc_state_senate_district_29
moore_ONESTOP,5855,3504,nc_state_senate_district_29
moore_PHB2,696,176,nc_state_senate_district_29
moore_SLS,906,327,nc_state_senate_district_29
moore_CAM,437,221,nc_state_senate_district_29
moore_CAR,723,358,nc_state_senate_district_29
moore_TLT,47,172,nc_state_senate_district_29
randolph_SO,739,218,nc_state_senate_district_29
randolph_NM,1367,322,nc_state_senate_district_29
randolph_AS,1395,512,nc_state_senate_district_29
randolph_BC,1041,218,nc_state_senate_district_29
randolph_TT,1313,236,nc_state_senate_district_29
randolph_UG,2156,634,nc_state_senate_district_29
randolph_AN,882,324,nc_state_senate_district_29
randolph_TR,2285,488,nc_state_senate_district_29
randolph_AR,2344,620,nc_state_senate_district_29
randolph_LC,670,233,nc_state_senate_district_29
randolph_RN,1455,541,nc_state_senate_district_29
randolph_SW,876,184,nc_state_senate_district_29
randolph_TB,811,144,nc_state_senate_district_29
randolph_AE,937,850,nc_state_senate_district_29
randolph_AW,1491,747,nc_state_senate_district_29
