prec_id,"John K. Motsinger, Sr.",Joyce Krawiec,election
forsyth_71,596,1120,nc_state_senate_district_31
forsyth_91,278,670,nc_state_senate_district_31
forsyth_122,245,340,nc_state_senate_district_31
forsyth_901,307,369,nc_state_senate_district_31
forsyth_906,340,413,nc_state_senate_district_31
forsyth_31,162,395,nc_state_senate_district_31
forsyth_804,342,449,nc_state_senate_district_31
forsyth_807,426,541,nc_state_senate_district_31
forsyth_33,9,29,nc_state_senate_district_31
forsyth_34,329,564,nc_state_senate_district_31
forsyth_53,348,756,nc_state_senate_district_31
forsyth_101,103,187,nc_state_senate_district_31
forsyth_909,121,127,nc_state_senate_district_31
forsyth_12,296,807,nc_state_senate_district_31
forsyth_15,266,552,nc_state_senate_district_31
forsyth_67,34,52,nc_state_senate_district_31
forsyth_705,208,131,nc_state_senate_district_31
forsyth_133,896,1744,nc_state_senate_district_31
forsyth_54,527,943,nc_state_senate_district_31
forsyth_51,415,848,nc_state_senate_district_31
forsyth_72,737,1353,nc_state_senate_district_31
forsyth_73,407,1117,nc_state_senate_district_31
forsyth_75,88,259,nc_state_senate_district_31
forsyth_92,251,597,nc_state_senate_district_31
forsyth_112,307,621,nc_state_senate_district_31
forsyth_14,273,673,nc_state_senate_district_31
forsyth_42,134,299,nc_state_senate_district_31
forsyth_708,145,181,nc_state_senate_district_31
forsyth_803,350,734,nc_state_senate_district_31
forsyth_806,376,594,nc_state_senate_district_31
forsyth_809,671,916,nc_state_senate_district_31
forsyth_11,764,1183,nc_state_senate_district_31
forsyth_62,364,644,nc_state_senate_district_31
forsyth_82,18,85,nc_state_senate_district_31
forsyth_132,464,778,nc_state_senate_district_31
forsyth_43,209,428,nc_state_senate_district_31
forsyth_903,433,319,nc_state_senate_district_31
forsyth_801,371,342,nc_state_senate_district_31
forsyth_13,330,564,nc_state_senate_district_31
forsyth_21,395,1186,nc_state_senate_district_31
forsyth_63,477,1228,nc_state_senate_district_31
forsyth_65,535,1206,nc_state_senate_district_31
forsyth_68,388,839,nc_state_senate_district_31
forsyth_131,601,906,nc_state_senate_district_31
forsyth_709,30,75,nc_state_senate_district_31
forsyth_52,245,430,nc_state_senate_district_31
forsyth_32,283,571,nc_state_senate_district_31
forsyth_55,535,1111,nc_state_senate_district_31
forsyth_74,651,750,nc_state_senate_district_31
forsyth_701,250,380,nc_state_senate_district_31
forsyth_702,403,266,nc_state_senate_district_31
forsyth_707,209,219,nc_state_senate_district_31
forsyth_905,233,141,nc_state_senate_district_31
forsyth_123,371,506,nc_state_senate_district_31
forsyth_601,61,17,nc_state_senate_district_31
forsyth_604,92,47,nc_state_senate_district_31
forsyth_802,401,579,nc_state_senate_district_31
forsyth_805,629,796,nc_state_senate_district_31
forsyth_907,402,287,nc_state_senate_district_31
forsyth_111,206,594,nc_state_senate_district_31
forsyth_507,7,11,nc_state_senate_district_31
forsyth_808,139,153,nc_state_senate_district_31
forsyth_61,200,379,nc_state_senate_district_31
forsyth_64,110,196,nc_state_senate_district_31
forsyth_66,237,654,nc_state_senate_district_31
forsyth_81,19,33,nc_state_senate_district_31
forsyth_703,366,203,nc_state_senate_district_31
forsyth_704,337,208,nc_state_senate_district_31
forsyth_908,650,921,nc_state_senate_district_31
yadkin_BNVL,277,744,nc_state_senate_district_31
yadkin_SLIB,158,658,nc_state_senate_district_31
yadkin_DCRK,134,476,nc_state_senate_district_31
yadkin_NFAL,79,374,nc_state_senate_district_31
yadkin_NLIB,233,700,nc_state_senate_district_31
yadkin_FBSH,215,976,nc_state_senate_district_31
yadkin_NKNB,301,696,nc_state_senate_district_31
yadkin_NBCK,108,430,nc_state_senate_district_31
yadkin_EBND,206,596,nc_state_senate_district_31
yadkin_SKNB,55,405,nc_state_senate_district_31
yadkin_ONESTOP,532,1313,nc_state_senate_district_31
yadkin_SFAL,102,474,nc_state_senate_district_31
yadkin_SBCK,75,247,nc_state_senate_district_31
