prec_id,Joyce Krawiec,election
forsyth_73,1615,nc_state_senate_district_31
forsyth_72,2406,nc_state_senate_district_31
forsyth_507,20,nc_state_senate_district_31
forsyth_908,1302,nc_state_senate_district_31
forsyth_131,1498,nc_state_senate_district_31
forsyth_601,51,nc_state_senate_district_31
forsyth_604,126,nc_state_senate_district_31
forsyth_802,766,nc_state_senate_district_31
forsyth_805,1101,nc_state_senate_district_31
forsyth_71,1821,nc_state_senate_district_31
forsyth_91,1117,nc_state_senate_district_31
forsyth_31,712,nc_state_senate_district_31
forsyth_701,534,nc_state_senate_district_31
forsyth_702,537,nc_state_senate_district_31
forsyth_707,376,nc_state_senate_district_31
forsyth_101,270,nc_state_senate_district_31
forsyth_909,210,nc_state_senate_district_31
forsyth_133,2826,nc_state_senate_district_31
forsyth_51,1303,nc_state_senate_district_31
forsyth_67,118,nc_state_senate_district_31
forsyth_803,900,nc_state_senate_district_31
forsyth_806,818,nc_state_senate_district_31
forsyth_809,1219,nc_state_senate_district_31
forsyth_709,106,nc_state_senate_district_31
forsyth_ABS/PROV/CURB 4,1410,nc_state_senate_district_31
forsyth_34,1066,nc_state_senate_district_31
forsyth_33,60,nc_state_senate_district_31
forsyth_21,1952,nc_state_senate_district_31
forsyth_11,2308,nc_state_senate_district_31
forsyth_122,694,nc_state_senate_district_31
forsyth_65,1835,nc_state_senate_district_31
forsyth_63,1895,nc_state_senate_district_31
forsyth_68,1451,nc_state_senate_district_31
forsyth_901,491,nc_state_senate_district_31
forsyth_906,641,nc_state_senate_district_31
forsyth_ABS/PROV/CURB 2,2139,nc_state_senate_district_31
forsyth_53,1299,nc_state_senate_district_31
forsyth_14,1102,nc_state_senate_district_31
forsyth_43,781,nc_state_senate_district_31
forsyth_705,287,nc_state_senate_district_31
forsyth_132,1271,nc_state_senate_district_31
forsyth_804,583,nc_state_senate_district_31
forsyth_807,834,nc_state_senate_district_31
forsyth_801,547,nc_state_senate_district_31
forsyth_32,1059,nc_state_senate_district_31
forsyth_74,1387,nc_state_senate_district_31
forsyth_111,981,nc_state_senate_district_31
forsyth_123,843,nc_state_senate_district_31
forsyth_907,478,nc_state_senate_district_31
forsyth_52,644,nc_state_senate_district_31
forsyth_66,1036,nc_state_senate_district_31
forsyth_808,238,nc_state_senate_district_31
forsyth_ABS/PROV/CURB 3,586,nc_state_senate_district_31
forsyth_708,295,nc_state_senate_district_31
forsyth_61,626,nc_state_senate_district_31
forsyth_81,64,nc_state_senate_district_31
forsyth_12,1401,nc_state_senate_district_31
forsyth_15,1028,nc_state_senate_district_31
forsyth_64,372,nc_state_senate_district_31
forsyth_55,1748,nc_state_senate_district_31
forsyth_704,406,nc_state_senate_district_31
forsyth_703,421,nc_state_senate_district_31
forsyth_903,992,nc_state_senate_district_31
forsyth_905,277,nc_state_senate_district_31
forsyth_54,1337,nc_state_senate_district_31
forsyth_13,1050,nc_state_senate_district_31
forsyth_92,941,nc_state_senate_district_31
forsyth_75,368,nc_state_senate_district_31
forsyth_112,1172,nc_state_senate_district_31
forsyth_ABS/PROV/CURB 1,3408,nc_state_senate_district_31
forsyth_42,596,nc_state_senate_district_31
forsyth_82,136,nc_state_senate_district_31
forsyth_62,1093,nc_state_senate_district_31
yadkin_DCRK,538,nc_state_senate_district_31
yadkin_SLIB,686,nc_state_senate_district_31
yadkin_EBND,854,nc_state_senate_district_31
yadkin_FBSH,987,nc_state_senate_district_31
yadkin_NKNB,959,nc_state_senate_district_31
yadkin_SBCK,349,nc_state_senate_district_31
yadkin_NFAL,448,nc_state_senate_district_31
yadkin_SFAL,580,nc_state_senate_district_31
yadkin_NLIB,626,nc_state_senate_district_31
yadkin_BNVL,941,nc_state_senate_district_31
yadkin_NBCK,496,nc_state_senate_district_31
yadkin_SKNB,422,nc_state_senate_district_31
yadkin_ABSENTEE,455,nc_state_senate_district_31
