prec_id,Tommy Tucker,election
union_27,1058,nc_state_senate_district_35
union_028D,2299,nc_state_senate_district_35
union_24,1409,nc_state_senate_district_35
union_028C,1956,nc_state_senate_district_35
union_7,1753,nc_state_senate_district_35
union_36,1035,nc_state_senate_district_35
union_5,1535,nc_state_senate_district_35
union_4,300,nc_state_senate_district_35
union_15,2288,nc_state_senate_district_35
union_40,2189,nc_state_senate_district_35
union_029B,982,nc_state_senate_district_35
union_16,2681,nc_state_senate_district_35
union_22,1601,nc_state_senate_district_35
union_18,1580,nc_state_senate_district_35
union_25,1096,nc_state_senate_district_35
union_42,994,nc_state_senate_district_35
union_038A,1687,nc_state_senate_district_35
union_029A,2257,nc_state_senate_district_35
union_34,1914,nc_state_senate_district_35
union_33,1247,nc_state_senate_district_35
union_ABSENTEE,0,nc_state_senate_district_35
union_41,2192,nc_state_senate_district_35
union_39,1306,nc_state_senate_district_35
union_13,1807,nc_state_senate_district_35
union_10,404,nc_state_senate_district_35
union_3,425,nc_state_senate_district_35
union_2,605,nc_state_senate_district_35
union_9,507,nc_state_senate_district_35
union_19,3022,nc_state_senate_district_35
union_26,1087,nc_state_senate_district_35
union_23,1217,nc_state_senate_district_35
union_037A,2459,nc_state_senate_district_35
union_43,175,nc_state_senate_district_35
union_31,1793,nc_state_senate_district_35
union_020B,2242,nc_state_senate_district_35
union_038B,1345,nc_state_senate_district_35
union_CURBSIDE,0,nc_state_senate_district_35
union_1,327,nc_state_senate_district_35
union_028A,2693,nc_state_senate_district_35
union_028B,2033,nc_state_senate_district_35
union_020A,1977,nc_state_senate_district_35
union_30,2268,nc_state_senate_district_35
union_017B,2485,nc_state_senate_district_35
union_8,932,nc_state_senate_district_35
union_029C,1197,nc_state_senate_district_35
union_6,1075,nc_state_senate_district_35
union_11,1671,nc_state_senate_district_35
union_21,1426,nc_state_senate_district_35
union_017A,1754,nc_state_senate_district_35
union_14,747,nc_state_senate_district_35
