prec_id,Jeff Jackson,election
mecklenburg_20,671,nc_state_senate_district_37
mecklenburg_88,591,nc_state_senate_district_37
mecklenburg_58,421,nc_state_senate_district_37
mecklenburg_49,556,nc_state_senate_district_37
mecklenburg_50,499,nc_state_senate_district_37
mecklenburg_10,792,nc_state_senate_district_37
mecklenburg_21,577,nc_state_senate_district_37
mecklenburg_120,523,nc_state_senate_district_37
mecklenburg_87,621,nc_state_senate_district_37
mecklenburg_CURBSIDE,198,nc_state_senate_district_37
mecklenburg_59,366,nc_state_senate_district_37
mecklenburg_51,752,nc_state_senate_district_37
mecklenburg_37,548,nc_state_senate_district_37
mecklenburg_38,490,nc_state_senate_district_37
mecklenburg_9,868,nc_state_senate_district_37
mecklenburg_226,64,nc_state_senate_district_37
mecklenburg_229,1589,nc_state_senate_district_37
mecklenburg_243,2008,nc_state_senate_district_37
mecklenburg_122,1354,nc_state_senate_district_37
mecklenburg_225,395,nc_state_senate_district_37
mecklenburg_228,964,nc_state_senate_district_37
mecklenburg_230,1694,nc_state_senate_district_37
mecklenburg_138,753,nc_state_senate_district_37
mecklenburg_200,39,nc_state_senate_district_37
mecklenburg_61,632,nc_state_senate_district_37
mecklenburg_84,624,nc_state_senate_district_37
mecklenburg_124,40,nc_state_senate_district_37
mecklenburg_6,622,nc_state_senate_district_37
mecklenburg_17,58,nc_state_senate_district_37
mecklenburg_29,566,nc_state_senate_district_37
mecklenburg_46,752,nc_state_senate_district_37
mecklenburg_44,544,nc_state_senate_district_37
mecklenburg_33,498,nc_state_senate_district_37
mecklenburg_34,298,nc_state_senate_district_37
mecklenburg_2,777,nc_state_senate_district_37
mecklenburg_45,476,nc_state_senate_district_37
mecklenburg_15,990,nc_state_senate_district_37
mecklenburg_109,712,nc_state_senate_district_37
mecklenburg_30,788,nc_state_senate_district_37
mecklenburg_5,381,nc_state_senate_district_37
mecklenburg_11,1428,nc_state_senate_district_37
mecklenburg_98,660,nc_state_senate_district_37
mecklenburg_13,595,nc_state_senate_district_37
mecklenburg_52,51,nc_state_senate_district_37
mecklenburg_77,771,nc_state_senate_district_37
mecklenburg_14,16,nc_state_senate_district_37
mecklenburg_97,404,nc_state_senate_district_37
mecklenburg_231,344,nc_state_senate_district_37
mecklenburg_129,245,nc_state_senate_district_37
