prec_id,Robert (Bob) Rucho,election
mecklenburg_18,646,nc_state_senate_district_39
mecklenburg_101,738,nc_state_senate_district_39
mecklenburg_86,834,nc_state_senate_district_39
mecklenburg_CURBSIDE,152,nc_state_senate_district_39
mecklenburg_75,1029,nc_state_senate_district_39
mecklenburg_92,948,nc_state_senate_district_39
mecklenburg_76,881,nc_state_senate_district_39
mecklenburg_1,485,nc_state_senate_district_39
mecklenburg_47,772,nc_state_senate_district_39
mecklenburg_32,781,nc_state_senate_district_39
mecklenburg_57,634,nc_state_senate_district_39
mecklenburg_8,769,nc_state_senate_district_39
mecklenburg_19,588,nc_state_senate_district_39
mecklenburg_93,597,nc_state_senate_district_39
mecklenburg_226,868,nc_state_senate_district_39
mecklenburg_114,964,nc_state_senate_district_39
mecklenburg_85,470,nc_state_senate_district_39
mecklenburg_117,27,nc_state_senate_district_39
mecklenburg_64,196,nc_state_senate_district_39
mecklenburg_217,355,nc_state_senate_district_39
mecklenburg_35,352,nc_state_senate_district_39
mecklenburg_91,1440,nc_state_senate_district_39
mecklenburg_233,1218,nc_state_senate_district_39
mecklenburg_121,1377,nc_state_senate_district_39
mecklenburg_70,691,nc_state_senate_district_39
mecklenburg_65,433,nc_state_senate_district_39
mecklenburg_68,341,nc_state_senate_district_39
mecklenburg_110,496,nc_state_senate_district_39
mecklenburg_100,770,nc_state_senate_district_39
mecklenburg_103,1093,nc_state_senate_district_39
mecklenburg_119,420,nc_state_senate_district_39
mecklenburg_71,685,nc_state_senate_district_39
mecklenburg_90,454,nc_state_senate_district_39
mecklenburg_36,694,nc_state_senate_district_39
mecklenburg_67,474,nc_state_senate_district_39
mecklenburg_69,1363,nc_state_senate_district_39
mecklenburg_7,78,nc_state_senate_district_39
mecklenburg_96,346,nc_state_senate_district_39
mecklenburg_111,809,nc_state_senate_district_39
mecklenburg_106,542,nc_state_senate_district_39
mecklenburg_74,829,nc_state_senate_district_39
mecklenburg_131,635,nc_state_senate_district_39
mecklenburg_48,783,nc_state_senate_district_39
mecklenburg_118,766,nc_state_senate_district_39
mecklenburg_72,540,nc_state_senate_district_39
mecklenburg_73,498,nc_state_senate_district_39
mecklenburg_66,402,nc_state_senate_district_39
mecklenburg_232,1344,nc_state_senate_district_39
mecklenburg_148,2175,nc_state_senate_district_39
mecklenburg_112,756,nc_state_senate_district_39
mecklenburg_113,541,nc_state_senate_district_39
mecklenburg_137,1705,nc_state_senate_district_39
mecklenburg_139.1,925,nc_state_senate_district_39
mecklenburg_231,565,nc_state_senate_district_39
mecklenburg_144,1088,nc_state_senate_district_39
mecklenburg_140,1414,nc_state_senate_district_39
