prec_id,Dan Bishop,Lloyd Scher,election
mecklenburg_217,415,274,nc_state_senate_district_39
mecklenburg_CURBSIDE 21-40,159,137,nc_state_senate_district_39
mecklenburg_18,759,438,nc_state_senate_district_39
mecklenburg_91,1790,1180,nc_state_senate_district_39
mecklenburg_71,778,437,nc_state_senate_district_39
mecklenburg_65,499,493,nc_state_senate_district_39
mecklenburg_68,435,740,nc_state_senate_district_39
mecklenburg_148,3333,3300,nc_state_senate_district_39
mecklenburg_7,105,92,nc_state_senate_district_39
mecklenburg_CURBSIDE 41-60,22,32,nc_state_senate_district_39
mecklenburg_139.1,1353,941,nc_state_senate_district_39
mecklenburg_103,1329,993,nc_state_senate_district_39
mecklenburg_110,557,435,nc_state_senate_district_39
mecklenburg_90,629,525,nc_state_senate_district_39
mecklenburg_119,547,499,nc_state_senate_district_39
mecklenburg_100,1018,885,nc_state_senate_district_39
mecklenburg_101,916,726,nc_state_senate_district_39
mecklenburg_1,530,516,nc_state_senate_district_39
mecklenburg_92,1152,849,nc_state_senate_district_39
mecklenburg_35,455,401,nc_state_senate_district_39
mecklenburg_73,642,578,nc_state_senate_district_39
mecklenburg_67,551,462,nc_state_senate_district_39
mecklenburg_226,1195,969,nc_state_senate_district_39
mecklenburg_121,1758,981,nc_state_senate_district_39
mecklenburg_69,1714,1121,nc_state_senate_district_39
mecklenburg_75,1284,828,nc_state_senate_district_39
mecklenburg_72,605,491,nc_state_senate_district_39
mecklenburg_36,850,835,nc_state_senate_district_39
mecklenburg_8,983,682,nc_state_senate_district_39
mecklenburg_231,848,829,nc_state_senate_district_39
mecklenburg_CURBSIDE 1-20,129,111,nc_state_senate_district_39
mecklenburg_86,919,519,nc_state_senate_district_39
mecklenburg_114,1229,813,nc_state_senate_district_39
mecklenburg_112,985,575,nc_state_senate_district_39
mecklenburg_140,2009,1511,nc_state_senate_district_39
mecklenburg_118,1001,857,nc_state_senate_district_39
mecklenburg_233,1495,849,nc_state_senate_district_39
mecklenburg_CURBSIDE 81-96,24,9,nc_state_senate_district_39
mecklenburg_85,598,639,nc_state_senate_district_39
mecklenburg_70,912,634,nc_state_senate_district_39
mecklenburg_74,1099,780,nc_state_senate_district_39
mecklenburg_76,1112,907,nc_state_senate_district_39
mecklenburg_106,644,570,nc_state_senate_district_39
mecklenburg_111,1066,859,nc_state_senate_district_39
mecklenburg_93,812,493,nc_state_senate_district_39
mecklenburg_96,429,482,nc_state_senate_district_39
mecklenburg_117,30,97,nc_state_senate_district_39
mecklenburg_32,937,485,nc_state_senate_district_39
mecklenburg_57,755,597,nc_state_senate_district_39
mecklenburg_66,516,588,nc_state_senate_district_39
mecklenburg_232,1967,1417,nc_state_senate_district_39
mecklenburg_144,1356,958,nc_state_senate_district_39
mecklenburg_19,718,512,nc_state_senate_district_39
mecklenburg_64,225,371,nc_state_senate_district_39
mecklenburg_137,2306,1394,nc_state_senate_district_39
mecklenburg_131,764,491,nc_state_senate_district_39
mecklenburg_48,912,481,nc_state_senate_district_39
mecklenburg_47,983,836,nc_state_senate_district_39
mecklenburg_113,677,381,nc_state_senate_district_39
