prec_id,Joyce Waddell,election
mecklenburg_CURBSIDE,711,nc_state_senate_district_40
mecklenburg_116,536,nc_state_senate_district_40
mecklenburg_123,841,nc_state_senate_district_40
mecklenburg_4,693,nc_state_senate_district_40
mecklenburg_204.1,1306,nc_state_senate_district_40
mecklenburg_205,356,nc_state_senate_district_40
mecklenburg_149,1555,nc_state_senate_district_40
mecklenburg_60,842,nc_state_senate_district_40
mecklenburg_3,734,nc_state_senate_district_40
mecklenburg_43,885,nc_state_senate_district_40
mecklenburg_124,792,nc_state_senate_district_40
mecklenburg_203,1101,nc_state_senate_district_40
mecklenburg_201,845,nc_state_senate_district_40
mecklenburg_104,1147,nc_state_senate_district_40
mecklenburg_108,700,nc_state_senate_district_40
mecklenburg_95,551,nc_state_senate_district_40
mecklenburg_83,887,nc_state_senate_district_40
mecklenburg_17,499,nc_state_senate_district_40
mecklenburg_115,463,nc_state_senate_district_40
mecklenburg_94,579,nc_state_senate_district_40
mecklenburg_125,395,nc_state_senate_district_40
mecklenburg_130,456,nc_state_senate_district_40
mecklenburg_85,185,nc_state_senate_district_40
mecklenburg_63,584,nc_state_senate_district_40
mecklenburg_34,254,nc_state_senate_district_40
mecklenburg_62,573,nc_state_senate_district_40
mecklenburg_99,453,nc_state_senate_district_40
mecklenburg_117,517,nc_state_senate_district_40
mecklenburg_102,1141,nc_state_senate_district_40
mecklenburg_64,1,nc_state_senate_district_40
mecklenburg_235,463,nc_state_senate_district_40
mecklenburg_35,141,nc_state_senate_district_40
mecklenburg_13,134,nc_state_senate_district_40
mecklenburg_14,799,nc_state_senate_district_40
mecklenburg_234,251,nc_state_senate_district_40
mecklenburg_7,451,nc_state_senate_district_40
mecklenburg_105,911,nc_state_senate_district_40
mecklenburg_126,977,nc_state_senate_district_40
mecklenburg_107.1,1158,nc_state_senate_district_40
mecklenburg_27,706,nc_state_senate_district_40
mecklenburg_56,459,nc_state_senate_district_40
mecklenburg_28,574,nc_state_senate_district_40
mecklenburg_82,976,nc_state_senate_district_40
mecklenburg_146,1183,nc_state_senate_district_40
mecklenburg_42,1033,nc_state_senate_district_40
mecklenburg_26,1224,nc_state_senate_district_40
mecklenburg_132,571,nc_state_senate_district_40
mecklenburg_55,580,nc_state_senate_district_40
mecklenburg_54,973,nc_state_senate_district_40
