prec_id,Jonathan Hudson,Chris Cole,Jeff Tarte,election
mecklenburg_217,530,74,470,nc_state_senate_district_41
mecklenburg_223.1,987,131,1351,nc_state_senate_district_41
mecklenburg_220,692,81,1364,nc_state_senate_district_41
mecklenburg_240,1252,212,2550,nc_state_senate_district_41
mecklenburg_CURBSIDE 21-40,18,1,10,nc_state_senate_district_41
mecklenburg_142,1345,214,2300,nc_state_senate_district_41
mecklenburg_221,826,132,2004,nc_state_senate_district_41
mecklenburg_234,684,100,680,nc_state_senate_district_41
mecklenburg_236,773,136,1976,nc_state_senate_district_41
mecklenburg_CURBSIDE 41-60,236,16,262,nc_state_senate_district_41
mecklenburg_212,913,51,296,nc_state_senate_district_41
mecklenburg_215,867,116,1289,nc_state_senate_district_41
mecklenburg_241,1628,186,2225,nc_state_senate_district_41
mecklenburg_203,677,56,330,nc_state_senate_district_41
mecklenburg_206,1949,160,1582,nc_state_senate_district_41
mecklenburg_201,1202,109,744,nc_state_senate_district_41
mecklenburg_209,1177,161,1709,nc_state_senate_district_41
mecklenburg_CURBSIDE 61-80,79,6,28,nc_state_senate_district_41
mecklenburg_127,1102,115,2017,nc_state_senate_district_41
mecklenburg_202,2000,284,3032,nc_state_senate_district_41
mecklenburg_211,716,56,456,nc_state_senate_district_41
mecklenburg_150,8,2,30,nc_state_senate_district_41
mecklenburg_204.1,642,32,112,nc_state_senate_district_41
mecklenburg_145,3529,309,2431,nc_state_senate_district_41
mecklenburg_207,1118,161,2218,nc_state_senate_district_41
mecklenburg_134,1806,254,2326,nc_state_senate_district_41
mecklenburg_136,503,71,897,nc_state_senate_district_41
mecklenburg_133,1047,143,2081,nc_state_senate_district_41
mecklenburg_233,47,11,114,nc_state_senate_district_41
mecklenburg_218,528,116,1158,nc_state_senate_district_41
mecklenburg_219,545,63,1012,nc_state_senate_district_41
mecklenburg_CURBSIDE 81-96,95,3,26,nc_state_senate_district_41
mecklenburg_238.1,170,7,82,nc_state_senate_district_41
mecklenburg_235,286,47,592,nc_state_senate_district_41
mecklenburg_96,238,30,256,nc_state_senate_district_41
mecklenburg_208,883,130,2291,nc_state_senate_district_41
mecklenburg_216,1373,166,1493,nc_state_senate_district_41
mecklenburg_242,390,65,1635,nc_state_senate_district_41
mecklenburg_237,1971,156,506,nc_state_senate_district_41
mecklenburg_151,242,23,79,nc_state_senate_district_41
mecklenburg_143,1289,188,2284,nc_state_senate_district_41
mecklenburg_205,750,59,558,nc_state_senate_district_41
mecklenburg_227,1568,181,2076,nc_state_senate_district_41
mecklenburg_113,496,59,756,nc_state_senate_district_41
