prec_id,Andy Wells,Patrice (Pat) Hensley,election
alexander_W,470,346,nc_state_senate_district_42
alexander_T3,347,216,nc_state_senate_district_42
alexander_G2,232,184,nc_state_senate_district_42
alexander_S1,520,352,nc_state_senate_district_42
alexander_SL,305,122,nc_state_senate_district_42
alexander_B2,1070,526,nc_state_senate_district_42
alexander_S2,229,166,nc_state_senate_district_42
alexander_T2,365,303,nc_state_senate_district_42
alexander_E,668,461,nc_state_senate_district_42
alexander_L,345,182,nc_state_senate_district_42
alexander_G1,209,112,nc_state_senate_district_42
alexander_T1,385,178,nc_state_senate_district_42
alexander_T4,375,310,nc_state_senate_district_42
alexander_T5,267,136,nc_state_senate_district_42
alexander_M,444,246,nc_state_senate_district_42
alexander_B1,929,440,nc_state_senate_district_42
catawba_21,458,222,nc_state_senate_district_42
catawba_31,1120,557,nc_state_senate_district_42
catawba_12,122,429,nc_state_senate_district_42
catawba_6,623,411,nc_state_senate_district_42
catawba_9,581,356,nc_state_senate_district_42
catawba_10,56,120,nc_state_senate_district_42
catawba_40,330,303,nc_state_senate_district_42
catawba_3,490,402,nc_state_senate_district_42
catawba_4,125,119,nc_state_senate_district_42
catawba_25,364,275,nc_state_senate_district_42
catawba_27,854,487,nc_state_senate_district_42
catawba_41,920,411,nc_state_senate_district_42
catawba_1,860,512,nc_state_senate_district_42
catawba_2,614,385,nc_state_senate_district_42
catawba_5,632,497,nc_state_senate_district_42
catawba_22,680,525,nc_state_senate_district_42
catawba_ONESTOP,100,96,nc_state_senate_district_42
catawba_20,717,493,nc_state_senate_district_42
catawba_32,540,571,nc_state_senate_district_42
catawba_34,1207,879,nc_state_senate_district_42
catawba_35,425,297,nc_state_senate_district_42
catawba_37,508,466,nc_state_senate_district_42
catawba_33,1449,882,nc_state_senate_district_42
catawba_30,712,569,nc_state_senate_district_42
catawba_13,138,257,nc_state_senate_district_42
catawba_29,646,370,nc_state_senate_district_42
catawba_8,719,439,nc_state_senate_district_42
catawba_11,249,206,nc_state_senate_district_42
catawba_14,491,363,nc_state_senate_district_42
catawba_19,274,168,nc_state_senate_district_42
catawba_28,713,448,nc_state_senate_district_42
catawba_7,564,489,nc_state_senate_district_42
catawba_16,410,406,nc_state_senate_district_42
catawba_38,842,569,nc_state_senate_district_42
catawba_39,879,392,nc_state_senate_district_42
catawba_36,690,473,nc_state_senate_district_42
catawba_15,10,265,nc_state_senate_district_42
catawba_17,308,220,nc_state_senate_district_42
catawba_23,1033,715,nc_state_senate_district_42
catawba_24,1083,639,nc_state_senate_district_42
catawba_26,542,403,nc_state_senate_district_42
