prec_id,Emily B. Church,Warren Daniel,election
burke_15,156,422,nc_state_senate_district_46
burke_18,83,139,nc_state_senate_district_46
burke_38,412,484,nc_state_senate_district_46
burke_13,288,817,nc_state_senate_district_46
burke_31,557,276,nc_state_senate_district_46
burke_34,567,365,nc_state_senate_district_46
burke_24,521,652,nc_state_senate_district_46
burke_40,322,434,nc_state_senate_district_46
burke_1,590,719,nc_state_senate_district_46
burke_0047-B,265,275,nc_state_senate_district_46
burke_3,172,331,nc_state_senate_district_46
burke_35,400,263,nc_state_senate_district_46
burke_22,354,520,nc_state_senate_district_46
burke_48,539,509,nc_state_senate_district_46
burke_20,244,269,nc_state_senate_district_46
burke_70,432,680,nc_state_senate_district_46
burke_ONESTOP,0,0,nc_state_senate_district_46
burke_19,130,170,nc_state_senate_district_46
burke_36,358,474,nc_state_senate_district_46
burke_52,225,263,nc_state_senate_district_46
burke_0047-A,602,398,nc_state_senate_district_46
burke_12,181,660,nc_state_senate_district_46
burke_21,257,311,nc_state_senate_district_46
burke_51,557,810,nc_state_senate_district_46
burke_62,159,184,nc_state_senate_district_46
burke_66,324,422,nc_state_senate_district_46
burke_11,287,672,nc_state_senate_district_46
burke_14,211,567,nc_state_senate_district_46
burke_39,376,299,nc_state_senate_district_46
burke_0029-B,173,298,nc_state_senate_district_46
burke_64,139,203,nc_state_senate_district_46
burke_53,265,564,nc_state_senate_district_46
burke_0029-A,100,343,nc_state_senate_district_46
burke_65,143,286,nc_state_senate_district_46
cleveland_WACO,515,819,nc_state_senate_district_46
cleveland_S 4A,1172,909,nc_state_senate_district_46
cleveland_S C,1546,1459,nc_state_senate_district_46
cleveland_S 5,622,611,nc_state_senate_district_46
cleveland_OAKGRV,336,981,nc_state_senate_district_46
cleveland_LATT,292,860,nc_state_senate_district_46
cleveland_LAWNDL,479,345,nc_state_senate_district_46
cleveland_MULLS,226,565,nc_state_senate_district_46
cleveland_SHANGI,399,769,nc_state_senate_district_46
cleveland_KINGST,334,134,nc_state_senate_district_46
cleveland_S S,1221,1189,nc_state_senate_district_46
cleveland_POLKVL,279,664,nc_state_senate_district_46
cleveland_BR,604,1320,nc_state_senate_district_46
cleveland_CASAR,119,491,nc_state_senate_district_46
cleveland_MRB-YO,167,426,nc_state_senate_district_46
cleveland_RIPPY,517,897,nc_state_senate_district_46
cleveland_BETHWR,192,525,nc_state_senate_district_46
cleveland_KM N,784,1036,nc_state_senate_district_46
cleveland_KM S,650,970,nc_state_senate_district_46
cleveland_FALSTN,153,549,nc_state_senate_district_46
cleveland_GROVER,367,775,nc_state_senate_district_46
